archive_index,chromosome,f1,f2,norm_f1,norm_f2,strength,raw_fitness,density,total_fitness
1,1188|1385|2622|2926|4214|4736,0.73557158280347,0.2790705703860946,0.10251315823368067,0.7680599637080542,147,0,0.4985116497941879,0.4985116497941879
2,1188|1385|2694|2926|4071|4735,0.7382275356950163,0.2747973740055543,0.17876122148689075,0.7426305276035376,146,0,0.4980533197387686,0.4980533197387686
3,1188|1240|2622|2711|4071|4736,0.7551526427820143,0.1681974956741587,0.6646533620607564,0.10826352141537039,154,0,0.49895404022293505,0.49895404022293505
4,1188|1240|2621|2711|4071|4736,0.7535846489659768,0.17368094680900953,0.619638824323128,0.14089508286218996,153,0,0.49871437646132805,0.49871437646132805
5,1188|1240|2621|2711|4071|4735,0.7520205568863559,0.18883243485899617,0.5747362990560699,0.2310603275511703,149,0,0.49887203073690856,0.49887203073690856
6,1188|1385|2622|2926|4214|4735,0.7346468677623023,0.2898882110747358,0.07596610193062095,0.832434843352279,144,0,0.4977597498953099,0.4977597498953099
7,1187|1385|2694|2926|4214|4736,0.7335870390862866,0.29703668155997714,0.04554015417242968,0.8749747964134775,145,0,0.497734093179492,0.497734093179492
8,1117|1240|2621|2711|4071|4736,0.7589502980114949,0.16316277793631767,0.7736778319875319,0.07830233507679248,152,0,0.4987280942054167,0.4987280942054167
9,1188|1240|2621|2926|4071|4736,0.74542493707691,0.2236637827981832,0.3853868425858667,0.438338780956054,153,0,0.4974777348022693,0.4974777348022693
10,1187|1385|2694|2926|4214|4735,0.732662324045119,0.3072982121695781,0.018993097869373147,0.9360403112490944,144,0,0.49609354086629265,0.49609354086629265
11,1117|1240|2566|2622|4071|4736,0.7668337902722434,0.1500047490495279,1.0,0.0,143,0,0.496376640147989,0.496376640147989
12,1117|1240|2622|2711|4071|4736,0.7603031169840561,0.15478777999971208,0.8125150519240381,0.0284634192071123,155,0,0.49741866297197807,0.49741866297197807
13,1188|1240|2621|2926|4214|4736,0.7420317990329465,0.2394746315869769,0.2879753993985664,0.5324278265388284,158,0,0.498450359133143,0.498450359133143
14,1188|1385|2694|2926|4214|4736,0.7358332760585191,0.2771270614366815,0.11002594354227295,0.7564943036619299,147,0,0.49811389714577897,0.49811389714577897
15,1188|1385|2622|2926|4071|4736,0.7390469919807231,0.26553455980463136,0.2022864710892791,0.687508291016649,145,0,0.4980210717936798,0.4980210717936798
16,1187|1240|2621|2711|4071|4736,0.7505834820936813,0.19367330945085673,0.5334802323388418,0.2598679694569539,150,0,0.497861325032307,0.497861325032307
17,1187|1240|2621|2926|4214|4736,0.7398209938137308,0.262796917441783,0.2245067977031715,0.6712168091039298,144,0,0.49751884913315386,0.49751884913315386
