archive_index,chromosome,f1,f2,norm_f1,norm_f2,strength,raw_fitness,density,total_fitness
1,735|956|2560|3841|4228|5524,1.1100568724771591,0.48638652065604854,1.0,1.0,191,0,0.4567507110898943,0.4567507110898943
2,901|1886|2348|3922|4157|4804,0.8842590524071295,0.5663364713519803,1.0,1.0,197,0,0.4724001029944169,0.4724001029944169
3,954|2209|3483|3864|3918|5390,1.179630041230843,0.5581890537032572,1.0,1.0,179,191,0.4725119448031243,191.47251194480313
4,895|1024|1259|3271|4149|4880,1.0051653389263544,0.6365611655519665,1.0,1.0,191,197,0.48511137606500376,197.485111376065
5,1320|1763|2265|3862|4215|4669,0.9886018401766606,0.637758623528176,1.0,1.0,191,197,0.4852643001663997,197.4852643001664
6,160|741|2487|2849|3924|4664,1.1533754104100744,0.588765419024061,1.0,1.0,184,388,0.4779304635936431,388.4779304635936
7,522|2065|3048|3352|3416|5672,1.5516850227738828,0.5764349183730927,1.0,1.0,100,567,0.4757032590113566,567.4757032590113
8,390|1305|2771|3283|4164|5022,1.1036125187065862,0.6404306993440473,1.0,1.0,186,579,0.4865305219696637,579.4865305219697
9,967|1461|2696|4239|4716|4958,1.0968206455942437,0.6666671668805235,1.0,1.0,185,579,0.49170329645073757,579.4917032964507
10,1747|1910|2047|2487|3353|4874,1.0901275241851258,0.6931614427387278,1.0,1.0,179,579,0.49177001117977037,579.4917700111798
11,829|1889|2262|3799|3916|4579,1.0797518781249584,0.7419778707920462,1.0,1.0,156,579,0.4924840172426023,579.4924840172426
12,522|533|900|2248|3492|4596,1.28105400614727,0.6049532279303179,1.0,1.0,158,751,0.4818930342260244,751.481893034226
13,962|1670|2255|2489|4745|4941,1.091563365560242,0.7293392597383331,1.0,1.0,163,758,0.49166676982732616,758.4916667698274
14,531|542|1522|1593|2992|5528,1.6655033265489985,0.6320785082767532,1.0,1.0,90,1009,0.4832783342152634,1009.4832783342152
15,828|1035|1098|3274|4584|4651,1.2225944443389665,0.6653754061693787,1.0,1.0,166,1319,0.49111200350278233,1319.4911120035028
16,317|1240|2278|4018|4210|5892,1.1715815964807632,0.6807343908051035,1.0,1.0,174,1325,0.4924216407948484,1325.4924216407949
17,749|2276|2467|3732|4859|5173,1.1521805490417736,0.7419098615217127,1.0,1.0,153,1483,0.4933013479324407,1483.4933013479324
18,1246|1701|2487|2767|3500|4087,1.192290657977206,0.6709507379597845,1.0,1.0,171,1504,0.49178273425305435,1504.491782734253
19,889|1604|2407|3802|5084|5457,1.1557433754965054,0.6994486861763403,1.0,1.0,169,1504,0.49214811106532286,1504.4921481110653
20,948|970|2063|3724|4061|5097,1.128424131162693,0.8156702050596777,1.0,1.0,119,1639,0.491015393828411,1639.4910153938283
21,1460|2828|3078|3927|4727|5385,1.132625620677517,0.7527362883058366,1.0,1.0,149,1639,0.4935546441711421,1639.4935546441711
22,1131|1348|1822|3208|3486|4153,1.3216954360668847,0.6673987652871515,1.0,1.0,149,1828,0.4912206215940793,1828.491220621594
23,669|899|2322|3349|4241|5317,1.2760415384724824,0.6790492768314921,1.0,1.0,155,1841,0.49393709922856566,1841.4939370992286
24,876|1026|1828|1909|3067|4943,1.1965366047081913,0.6888017151329894,1.0,1.0,167,1849,0.4938402730636082,1849.4938402730636
25,451|819|2182|2933|4288|4891,1.1897386088627133,0.6943843666399517,1.0,1.0,167,1857,0.4927188250350494,1857.4927188250351
26,389|1393|2397|3345|4720|4952,1.144389603168071,0.931959542692837,1.0,1.0,66,1907,0.48797022503623655,1907.4879702250362
27,1516|1901|2412|2994|5157|5306,1.3732904650934623,0.6713658227855439,1.0,1.0,138,2148,0.4912731085518477,2148.491273108552
28,541|1333|1704|2111|3500|4517,1.1683357827003684,0.7991107710941474,1.0,1.0,124,2294,0.4925556018628092,2294.492555601863
29,741|1309|1899|3440|3644|4378,1.2038566171356642,0.6956170486799358,1.0,1.0,165,2362,0.49268439670707315,2362.492684396707
30,1327|1526|2494|2791|4510|4523,1.1719774600290738,0.7973404649384872,1.0,1.0,124,2468,0.4927757536775231,2468.4927757536775
31,451|1679|2837|3137|4306|5026,1.1760436198279165,0.7685883333945238,1.0,1.0,137,2468,0.49318200281090585,2468.493182002811
