archive_index,chromosome,f1,f2,norm_f1,norm_f2,strength,raw_fitness,density,total_fitness
1,1453|2991|4584,1.6014434961361663,0.6504285317248573,1.0,1.0,193,0,0.47890676313426433,0.47890676313426433
2,889|2774|5024,1.709154227055554,0.5872590150882908,1.0,1.0,198,0,0.46809682544777287,0.46809682544777287
3,1089|2500|5892,3.7736759286693355,0.6150174070888894,1.0,1.0,79,198,0.46415732187703235,198.46415732187702
4,615|1227|3510,3.4476247478152255,0.6270925986537995,1.0,1.0,96,198,0.4701974670165836,198.4701974670166
5,1039|3636|4313,2.035666564885186,0.6394439830095079,1.0,1.0,184,198,0.483716406611907,198.4837164066119
6,1020|3221|3645,2.798796272718092,0.6441140593174628,1.0,1.0,130,382,0.48075228270365683,382.48075228270363
7,1303|2784|4932,2.794445857732391,0.6490065656518469,1.0,1.0,131,382,0.4818520353782743,382.48185203537827
8,1527|3421|3945,1.945090131904074,0.664620465713146,1.0,1.0,184,391,0.4860114267496487,391.48601142674966
9,1107|2915|3799,1.9021825371249328,0.6664663573693667,1.0,1.0,185,391,0.4860516647018669,391.48605166470185
10,1452|3133|4727,1.7094569813125706,0.6831088072913315,1.0,1.0,184,391,0.48670341517030097,391.4867034151703
11,1534|3586|4793,2.096638912732495,0.6532640854267561,1.0,1.0,175,575,0.48656048409078323,575.4865604840908
12,1961|3642|4735,1.7799426890674126,0.7693701063982982,1.0,1.0,145,575,0.4865642433058429,575.4865642433058
13,1324|4148|4499,2.0955081211583315,0.6594555785450388,1.0,1.0,174,575,0.4866899564279304,575.4866899564279
14,1104|3218|4799,1.8507196380937252,0.6868246100645288,1.0,1.0,181,575,0.487718844410709,575.4877188444107
15,2118|2248|4010,1.947141595916006,0.669077391994375,1.0,1.0,182,760,0.4872355475709503,760.487235547571
16,530|2857|5175,2.7986950720344765,0.6592817449267827,1.0,1.0,130,881,0.48369352393102183,881.483693523931
17,1116|2765|4653,1.9151224613663824,0.8871477195420059,1.0,1.0,84,1086,0.4785723156602599,1086.4785723156604
18,2113|3935|4010,2.0739563282282827,0.676232814223588,1.0,1.0,175,1126,0.488679507156738,1126.4886795071568
19,1589|1979|3947,2.5305291123958353,0.6686085614472378,1.0,1.0,150,1293,0.4876091422523293,1293.4876091422523
20,1377|3349|4879,1.949646412236842,0.7365271881968,1.0,1.0,159,1307,0.48815440740002936,1307.4881544074
21,1523|2770|5311,2.048298371517087,0.6835970616549559,1.0,1.0,175,1310,0.48965007865050486,1310.4896500786506
22,2188|4289|4941,2.002271035242149,0.7586522704382989,1.0,1.0,146,1466,0.4897930794027134,1466.4897930794027
23,1744|3924|4305,1.9879228020615651,0.7971841278909106,1.0,1.0,132,1611,0.4864329565742643,1611.4864329565742
24,1181|3218|4575,2.048218229991983,0.7383518828688206,1.0,1.0,154,1650,0.4891649703424077,1650.4891649703425
25,1113|2912|4003,1.9898914479698815,0.8620780474267928,1.0,1.0,95,1743,0.4815568505443624,1743.4815568505444
26,1831|3560|5604,2.079341660674191,0.7096070950865322,1.0,1.0,167,1841,0.48859159404080826,1841.4885915940408
27,1668|2420|4233,2.1500756206858425,0.6923017723773396,1.0,1.0,169,2190,0.48917852404106116,2190.489178524041
28,1674|3703|4528,2.1112823359229917,0.71235296637834,1.0,1.0,161,2357,0.4890088250417015,2357.4890088250418
29,1317|4362|4421,2.349262989773746,0.6993585403649668,1.0,1.0,157,2359,0.48855360847652296,2359.4885536084766
30,2186|2621|3870,2.257442900270242,0.7063478517557782,1.0,1.0,160,2359,0.4891364949587939,2359.489136494959
31,1245|4062|4819,2.3935866850201717,0.6950375541867987,1.0,1.0,156,2359,0.48929959785317884,2359.489299597853
32,1259|4145|4453,2.0912267066092025,0.7877046020092909,1.0,1.0,134,2612,0.48845715698117714,2612.488457156981
33,2270|2325|5022,2.0969551746888553,0.7575026038515443,1.0,1.0,145,2670,0.4906058110043245,2670.490605811004
34,1113|3557|4866,2.233515644118173,0.7365796318262745,1.0,1.0,148,2846,0.4908940278426541,2846.490894027843
35,828|3735|3923,2.7357023299830594,0.7074449469686322,1.0,1.0,132,2982,0.4877819591799228,2982.4877819591798
36,1663|1892|4148,2.2311240829273613,0.7389323913126776,1.0,1.0,148,3000,0.49101945124521473,3000.4910194512454
37,318|3486|4153,2.3652220143610174,0.7188619810648971,1.0,1.0,150,3004,0.4900783519139991,3004.490078351914
38,1115|1490|4869,2.949802334945472,0.6966885522459519,1.0,1.0,121,3056,0.4857837742001632,3056.4857837742
39,680|4005|4720,2.6815004874761006,0.7114310757041642,1.0,1.0,132,3149,0.48912403904207064,3149.489124039042
40,969|1187|4656,2.758852932566035,0.7106442660716027,1.0,1.0,129,3281,0.4877036505665245,3281.4877036505663
41,392|2251|3788,2.1510076560692677,0.759201978630029,1.0,1.0,143,3291,0.49136238237690394,3291.491362382377
42,1300|2990|4086,2.2624693318260856,0.7436081799006047,1.0,1.0,145,3456,0.4924406216268057,3456.492440621627
43,1680|2790|4020,2.570598708339027,0.7331060940925547,1.0,1.0,135,3460,0.4907093659746912,3460.490709365975
44,2973|3627|4714,4.254599070111122,0.7019650385245122,1.0,1.0,62,3509,0.471382707660711,3509.4713827076607
45,2334|3723|4375,2.128245247979046,0.8337897665314862,1.0,1.0,110,3533,0.48325838577531666,3533.483258385775
46,2692|5453|5818,3.2334308579595974,0.7098316305038349,1.0,1.0,103,3793,0.4833988511896577,3793.4833988511896
47,1886|2055|4213,2.1641350950621954,0.8210582630754311,1.0,1.0,115,3845,0.4839194695880332,3845.483919469588
48,609|2697|4670,2.2808008613003015,0.7750077888571009,1.0,1.0,135,4180,0.48970839630676116,4180.489708396307
49,974|2471|4881,2.359899505048096,0.762828448805001,1.0,1.0,136,4192,0.49073961928304893,4192.490739619283
50,749|3192|3436,2.567219347646571,0.7493324484493976,1.0,1.0,131,4214,0.4906058110043245,4214.490605811005
51,1591|2617|4307,2.534123832648073,0.7549992386165847,1.0,1.0,132,4214,0.49148538186042073,4214.49148538186
52,543|3482|4165,2.9303467315587843,0.7207966540329868,1.0,1.0,119,4244,0.48812608133022406,4244.48812608133
53,2398|4138|5005,2.8898651656886565,0.729552233438548,1.0,1.0,118,4244,0.48902818838601736,4244.489028188386
54,887|4581|5533,2.694409146693455,0.743458821302763,1.0,1.0,124,4336,0.4895532731764737,4336.489553273176
55,2263|3798|5533,2.2714885621168914,0.7980787694218725,1.0,1.0,128,4446,0.4872136234438709,4446.4872136234435
56,1401|4017|4737,2.6043752248137566,0.7499513274114332,1.0,1.0,129,4480,0.4907904581956018,4480.490790458196
57,391|3060|4072,2.453418599284559,0.7623066961847261,1.0,1.0,135,4498,0.49123505659204936,4498.491235056592
58,828|3480|4798,2.470845372545418,0.762391785821689,1.0,1.0,133,4633,0.4909626736733015,4633.4909626736735
59,398|1251|4378,2.9817164689558977,0.7364271531053193,1.0,1.0,113,4737,0.4869383132712699,4737.486938313271
60,540|3944|5599,3.798172236878538,0.7246060741668866,1.0,1.0,77,4762,0.4785252892722467,4762.4785252892725
61,1228|3938|4497,3.375198542520946,0.7356739533081685,1.0,1.0,94,4840,0.48459189077065634,4840.48459189077
62,1305|1877|5174,5.802479942546894,0.7255834225150999,1.0,1.0,32,4901,0.4552911162233759,4901.455291116224
63,468|3203|4437,2.2934522738056367,0.8493019325057184,1.0,1.0,103,4934,0.4841330392048629,4934.484133039205
64,672|1315|3658,3.310517832750973,0.7406251686395483,1.0,1.0,98,5562,0.48480111991811925,5562.484801119918
65,1522|3848|4883,2.4855581379626797,0.8143980074704201,1.0,1.0,115,5576,0.48763736309040623,5576.4876373630905
66,2476|2703|3721,2.467276543731175,0.8368806446369023,1.0,1.0,106,5668,0.486678051596741,5668.486678051597
67,386|2049|4140,2.419454229036557,0.8854467160553322,1.0,1.0,85,5731,0.483671181343982,5731.483671181344
68,243|1969|4881,2.5352593570227677,0.8050323457155365,1.0,1.0,119,5858,0.48872514699885683,5858.488725146999
69,2136|2625|4661,2.436747964659361,0.9426276636929979,1.0,1.0,60,5900,0.4800549302622433,5900.480054930263
70,1448|2103|4221,2.648926017165101,0.7921763350015681,1.0,1.0,118,5993,0.4892796014067429,5993.489279601406
71,1477|3658|5091,2.675314791076839,0.7970884920658116,1.0,1.0,117,6111,0.48763297461614097,6111.487632974616
72,2560|2899|5456,2.7709159603241194,0.7747622678225026,1.0,1.0,120,6241,0.48927030816931244,6241.48927030817
73,1169|1993|3780,2.5494609753787216,0.9040171788039129,1.0,1.0,79,6790,0.48397757441542105,6790.483977574416
74,2545|3059|3512,2.832461000225444,0.7757722123883778,1.0,1.0,115,6887,0.48916725415746526,6887.489167254157
75,2690|3052|5167,2.830802155590114,0.7769250619635338,1.0,1.0,115,6887,0.4893696670766332,6887.489369667077
76,1474|3131|4641,2.6166572874450793,0.8713063782921192,1.0,1.0,84,7016,0.4843874481284352,7016.4843874481285
77,2037|2707|3637,2.5910758815967507,0.9697637743239546,1.0,1.0,42,7195,0.48027887362212823,7195.480278873622
78,2835|4144|4160,2.6049851736552374,0.9290123818990211,1.0,1.0,66,7264,0.48180781920098315,7264.481807819201
79,244|1614|3425,2.6379688055085,0.935655274265614,1.0,1.0,63,7414,0.482497676170898,7414.482497676171
80,1203|1598|3495,2.7487547305265836,0.8388625060873887,1.0,1.0,98,7441,0.48784973630815626,7441.487849736308
81,1453|5032|5529,4.946845325805308,0.7746547146431485,1.0,1.0,45,7712,0.4713981025153864,7712.471398102515
82,1476|2541|5602,3.0629069759160092,0.7895208699241787,1.0,1.0,105,7722,0.48622750968507816,7722.486227509685
83,245|1747|3662,3.575134290434471,0.7751285718195858,1.0,1.0,86,7749,0.48289832828395807,7749.482898328284
