K,baseline_mean_dist_m,optimized_mean_dist_m,optimized_std_dist_m,baseline_coverage_500m,optimized_coverage_500m,baseline_cv,optimized_cv,cv_reduction_pct,wilcoxon_p,cohens_d
3,1412.3155907663506,1109.5036406791758,11.837047858399018,8.960600166003857,10.690710059633473,0.39016853419490916,0.2691567176258955,31.0152680094295,9.691343856468676e-135,0.5316538427888315
6,1239.8073837187706,807.4713553901931,2.6684841429360544,13.749114811229083,17.803130044615095,0.4194528783254767,0.1276888353042841,69.55824076972878,3.422034731695503e-241,0.7954530002051138
10,1200.9585533580114,617.4368959255953,9.010527341799156,15.611550952413003,31.200784017093714,0.4351769777234754,0.14078737231475177,67.64824898337973,0.0,1.051021629907225
