idx,id,lon,lat
0,24,29.0149812300375,40.9925081398671
1,25,29.0152668478074,40.992309867066
2,87,29.0166506843455,41.0006115372286
3,97,29.0161168362485,40.9917282156129
4,98,29.0163802801062,40.9912968143726
5,159,29.0174936543715,41.000790098508
6,160,29.0174411396937,41.0000213481762
7,163,29.0179353192437,40.9974181735836
8,164,29.0178189920571,40.9962290252041
9,169,29.0167985725743,40.9916560786396
10,170,29.0171870145559,40.9910302478587
11,171,29.0173718442143,40.9901589719775
12,172,29.0175312902001,40.9894030792271
13,231,29.0182219413529,41.0006067133014
14,232,29.0185393462229,40.9999427169382
15,233,29.0186019625321,40.9991002731028
16,234,29.0186034639191,40.9982197034466
17,235,29.0188161447439,40.9974146377363
18,236,29.0185912573414,40.9963449387256
19,237,29.0185796319045,40.9958224580494
20,241,29.0185345618121,40.9915403954742
21,242,29.0183416364179,40.9908999255941
22,243,29.0183272580588,40.9900976270764
23,244,29.0183032267953,40.9891997263706
24,245,29.0184637680555,40.9883639090343
25,246,29.0187180112011,40.9876833578005
26,304,29.0193165095249,40.9996338515741
27,305,29.0196665135806,40.9989874117801
28,306,29.0197627530748,40.9981791869452
29,307,29.0197352621265,40.9972789235458
30,308,29.0196571527645,40.9964693652634
31,309,29.019139780231,40.9959148797137
32,313,29.0189759502883,40.9914507802833
33,314,29.0194907901611,40.9908705130845
34,315,29.0195153793535,40.9900768107255
35,316,29.0194878996076,40.9891765459198
36,317,29.019460421106,40.9882762809578
37,318,29.0194607795618,40.9873895281852
38,319,29.0196825800696,40.986543355051
39,320,29.0198802706581,40.9858688810762
40,325,29.0198384778728,40.9812600141204
41,377,29.0206039385808,40.9987646247278
42,378,29.0209180565079,40.9981260015136
43,379,29.0209235113235,40.9972580897045
44,380,29.0209356641383,40.9964986282427
45,385,29.0212337233997,40.9914690294703
46,386,29.0207796226146,40.9909003378046
47,387,29.0207034994038,40.990055982138
48,388,29.0206760035178,40.9891557179889
49,389,29.0206485088769,40.9882554536836
50,390,29.0206210154811,40.987355189222
51,391,29.0205935233302,40.9864549246042
52,392,29.0206038539887,40.9855750551848
53,393,29.020660063714,40.9846612295454
54,394,29.0207546224621,40.9837718568223
55,395,29.0207349545366,40.9828350332769
56,396,29.020598861323,40.9819253347228
57,397,29.0204671960124,40.9810624038715
58,398,29.0206459085249,40.9802327471869
59,399,29.0208937325421,40.9796083662114
60,449,29.0224573924026,40.9989200401408
61,450,29.0221527867128,40.9981258195106
62,451,29.0221117592748,40.9972372436235
63,452,29.0220874258974,40.9963581802114
64,453,29.0226111886008,40.995268994898
65,456,29.0225351177153,40.992996592285
66,457,29.0219745283726,40.9916136097034
67,458,29.0219191314807,40.9909354046496
68,459,29.0218916182088,40.9900351413139
69,460,29.0218641061829,40.9891348778219
70,461,29.0218365954027,40.9882346141736
71,462,29.0218090858684,40.987334350369
72,463,29.0217815775797,40.9864340864081
73,464,29.0217540705368,40.985533822291
74,465,29.0217265647394,40.9846335580175
75,466,29.0216990601875,40.9837332935878
76,467,29.0216715568811,40.9828330290019
77,468,29.0216440548201,40.9819327642596
78,469,29.0216165540044,40.981032499361
79,470,29.021589054434,40.9801322343062
80,471,29.0216442381534,40.9792789118141
81,472,29.0219399471407,40.9786225271764
82,519,29.023920776729,41.0004025953765
83,520,29.0236280574912,40.9997939192897
84,521,29.0233552052473,40.9990168129225
85,522,29.0233275453676,40.9981166467308
86,523,29.0233000059797,40.997216385303
87,524,29.0232724678388,40.9963161237188
88,525,29.0232901772779,40.995415397008
89,526,29.0231722132665,40.9949015846443
90,527,29.0235825046333,40.9936693345942
91,528,29.0232638499742,40.9926975846948
92,529,29.0231786316559,40.991773508951
93,530,29.0231072651805,40.9909145509316
94,531,29.023079735768,40.9900142882533
95,532,29.0230522076021,40.9891140254187
96,533,29.0230246806828,40.9882137624278
97,534,29.0229971550099,40.9873134992806
98,535,29.0229696305836,40.9864132359771
99,536,29.0229421074036,40.9855129725173
100,537,29.0229145854699,40.9846127089012
101,538,29.0228870647825,40.9837124451288
102,539,29.0228595453413,40.9828121812001
103,540,29.0228320271462,40.9819119171151
104,541,29.0228045101971,40.9810116528738
105,542,29.0227769944941,40.9801113884763
106,543,29.022749480037,40.9792111239224
107,544,29.0225982248279,40.9785842595883
108,591,29.0247342026998,41.0006052351509
109,592,29.0245709217845,40.9998962965833
110,593,29.0245433637541,40.9989960361262
111,594,29.0245158069718,40.9980957755127
