run_id,run_label,generation,stage,chromosome,f1,f2
20260419_190446_run02,run02,5,periodic_nd,1168|1396|2623|3921|4373,1.0753375874716806,0.6680748287781845
20260419_190446_run02,run02,5,periodic_nd,1103|1978|3506|3921|4305,1.0891848781805895,0.607141074135078
20260419_190446_run02,run02,5,periodic_nd,1168|2351|2623|3786|4742,1.0895486822658838,0.5839016076915862
20260419_190446_run02,run02,5,periodic_nd,1168|1268|2844|4305|4729,1.1519617124744976,0.48205164270117584
20260419_190446_run02,run02,5,periodic_nd,746|1978|3506|3921|5022,1.07276004892771,0.8297958443791795
20260419_190446_run02,run02,10,periodic_nd,1243|1268|2844|3786|4729,1.047069322143022,0.44229347407981356
20260419_190446_run02,run02,10,periodic_nd,1243|2351|2623|3786|4742,1.041555761023613,0.48317630287997787
20260419_190446_run02,run02,10,periodic_nd,1103|2705|3051|4577|4742,1.020924611533195,0.5189938392216699
20260419_190446_run02,run02,10,periodic_nd,1168|1268|2623|3786|4305,1.0957019287333323,0.43884010076508834
20260419_190446_run02,run02,10,periodic_nd,1243|2351|2623|3786|4729,1.0014942282053352,0.536545562177841
20260419_190446_run02,run02,15,periodic_nd,1243|2623|2639|3998|4447,0.9569217672696164,0.5179914098646005
20260419_190446_run02,run02,15,periodic_nd,1117|1243|2699|3998|4447,0.9579817396659414,0.4554431949047492
20260419_190446_run02,run02,15,periodic_nd,1117|1168|2623|3786|4447,0.9909026521727684,0.42702070499415795
20260419_190446_run02,run02,15,periodic_nd,1243|1268|2844|3786|4742,1.0871308549612995,0.38615457390970565
20260419_190446_run02,run02,15,periodic_nd,1243|1268|2844|3786|4447,1.0446913558042412,0.3993911755117103
20260419_190446_run02,run02,15,periodic_nd,1243|1268|2623|3786|4447,1.022146699257603,0.41025484816923674
20260419_190446_run02,run02,20,periodic_nd,1243|1268|2844|3786|4742,1.0871308549612995,0.38615457390970565
20260419_190446_run02,run02,20,periodic_nd,1243|1268|2844|3998|4447,1.0065993381629834,0.4232575184549272
20260419_190446_run02,run02,20,periodic_nd,1243|1268|2623|3786|4447,1.022146699257603,0.41025484816923674
20260419_190446_run02,run02,20,periodic_nd,1117|1168|2623|3786|4447,0.9909026521727684,0.42702070499415795
20260419_190446_run02,run02,20,periodic_nd,1243|1268|2844|3786|4447,1.0446913558042412,0.3993911755117103
20260419_190446_run02,run02,20,periodic_nd,1117|1243|2699|3998|4447,0.9579817396659414,0.4554431949047492
20260419_190446_run02,run02,20,periodic_nd,1243|2623|2639|3998|4447,0.9569217672696164,0.5179914098646005
20260419_190446_run02,run02,25,periodic_nd,1117|1168|2699|3998|4447,0.9631823308286289,0.44528168034748317
20260419_190446_run02,run02,25,periodic_nd,1117|1243|2699|3998|4447,0.9579817396659414,0.4554431949047492
20260419_190446_run02,run02,25,periodic_nd,1243|1268|2844|3786|4742,1.0871308549612995,0.38615457390970565
20260419_190446_run02,run02,25,periodic_nd,1117|1243|2699|3786|4447,0.9874883530748345,0.4240037499574468
20260419_190446_run02,run02,25,periodic_nd,1243|1268|2699|3786|4447,1.02854343044659,0.39471531781720026
20260419_190446_run02,run02,25,periodic_nd,1243|2623|2639|3998|4447,0.9569217672696164,0.5179914098646005
20260419_190446_run02,run02,25,periodic_nd,1243|1268|2844|3998|4447,1.0065993381629834,0.4232575184549272
20260419_190446_run02,run02,25,periodic_nd,1243|1268|2623|3786|4447,1.022146699257603,0.41025484816923674
20260419_190446_run02,run02,25,periodic_nd,1117|1243|2699|3711|4447,0.9831842251601658,0.43272633041833614
20260419_190446_run02,run02,25,periodic_nd,1243|1268|2699|3711|4447,1.024239302531922,0.4029963464218403
20260419_190446_run02,run02,30,periodic_nd,1117|1243|2699|3786|4447,0.9874883530748345,0.4240037499574468
20260419_190446_run02,run02,30,periodic_nd,1243|1268|2699|3786|4447,1.02854343044659,0.39471531781720026
20260419_190446_run02,run02,30,periodic_nd,1243|1268|2699|3786|4742,1.0709829296036486,0.38390155082450333
20260419_190446_run02,run02,30,periodic_nd,1243|1268|2623|3786|4447,1.022146699257603,0.41025484816923674
20260419_190446_run02,run02,30,periodic_nd,1117|1168|2699|3786|4447,0.9926889442375219,0.41354865869875507
20260419_190446_run02,run02,30,periodic_nd,1117|1168|2699|3998|4447,0.9631823308286289,0.44528168034748317
20260419_190446_run02,run02,30,periodic_nd,1243|1268|2699|3711|4447,1.024239302531922,0.4029963464218403
20260419_190446_run02,run02,30,periodic_nd,1117|1243|2699|3998|4447,0.9579817396659414,0.4554431949047492
20260419_190446_run02,run02,30,periodic_nd,1117|1168|2699|3711|4447,0.9883848163228536,0.4223820471763003
20260419_190446_run02,run02,30,periodic_nd,1117|1243|2699|3711|4447,0.9831842251601658,0.43272633041833614
20260419_190446_run02,run02,30,periodic_nd,1243|2623|2639|3998|4447,0.9569217672696164,0.5179914098646005
20260419_190446_run02,run02,30,final_nd,1117|1243|2699|3786|4447,0.9874883530748345,0.4240037499574468
20260419_190446_run02,run02,30,final_nd,1243|1268|2699|3786|4447,1.02854343044659,0.39471531781720026
20260419_190446_run02,run02,30,final_nd,1243|1268|2699|3786|4742,1.0709829296036486,0.38390155082450333
20260419_190446_run02,run02,30,final_nd,1243|1268|2623|3786|4447,1.022146699257603,0.41025484816923674
20260419_190446_run02,run02,30,final_nd,1117|1168|2699|3786|4447,0.9926889442375219,0.41354865869875507
20260419_190446_run02,run02,30,final_nd,1117|1168|2699|3998|4447,0.9631823308286289,0.44528168034748317
20260419_190446_run02,run02,30,final_nd,1243|1268|2699|3711|4447,1.024239302531922,0.4029963464218403
20260419_190446_run02,run02,30,final_nd,1117|1243|2699|3998|4447,0.9579817396659414,0.4554431949047492
20260419_190446_run02,run02,30,final_nd,1117|1168|2699|3711|4447,0.9883848163228536,0.4223820471763003
20260419_190446_run02,run02,30,final_nd,1117|1243|2699|3711|4447,0.9831842251601658,0.43272633041833614
20260419_190446_run02,run02,30,final_nd,1243|2623|2639|3998|4447,0.9569217672696164,0.5179914098646005
20260419_190457_run03,run03,0,gen0_nd,536|1826|2135|2983|4585,1.155729884870112,0.8028986064633926
20260419_190457_run03,run03,0,gen0_nd,525|1896|2273|3782|5674,1.2382044832539478,0.6588641769272874
20260419_190457_run03,run03,0,gen0_nd,1751|3205|3788|3996|4876,1.162723666726356,0.7460181063359914
