archive_index,chromosome,f1,f2,norm_f1,norm_f2,strength,raw_fitness,density,total_fitness
1,1381|2627|4153,1.623075990203981,0.6580148461272151,0.48869025049263637,1.0,190,0,0.4825768835988042,0.4825768835988042
2,1967|3423|5088,1.6227823316082008,0.6812490514013769,0.4881430865701932,1.0,184,0,0.4862191180593,0.4862191180593
3,1391|2702|5168,1.6876858139902335,0.6031919816718714,0.6090755043869392,1.0,197,0,0.47179561140754156,0.47179561140754156
4,459|4351|4356,3.637056718060838,0.6034658242415454,1.0,1.0,77,197,0.4693343517712051,197.4693343517712
5,317|3361|3580,3.403153525334892,0.614256081965266,1.0,1.0,91,197,0.4738734620433268,197.47387346204331
6,1966|4088|4159,2.5072838883219255,0.631888588156629,1.0,1.0,149,197,0.48137238589245757,197.48137238589246
7,1020|2844|3934,1.8829841012216093,0.6546416170825148,0.9729680599718731,1.0,189,197,0.4834101532837467,197.48341015328376
8,677|4285|4504,2.956558011607989,0.6330710682040885,1.0,1.0,115,346,0.4792924602204929,346.4792924602205
9,1173|2194|3794,1.8071145908457482,0.694103170521304,0.8316030208154298,1.0,177,571,0.4883890728056152,571.4883890728056
10,1543|4007|5311,1.7874125325607146,0.7038302779262973,0.794892855860781,1.0,174,571,0.4887312601681585,571.4887312601682
11,1609|2135|5303,2.2733937908356507,0.6584597664295405,1.0,1.0,160,576,0.4848047327748293,576.4848047327748
12,806|3417|4434,2.1751616236476212,0.6652605375615327,1.0,1.0,167,576,0.48633783114714724,576.4863378311471
13,950|3138|4430,2.160874876794928,0.6735873876083281,1.0,1.0,168,576,0.48732718092892086,576.4873271809289
14,245|1561|3367,4.049754526389464,0.6440192756873557,1.0,1.0,58,629,0.47429477119880087,629.4742947711989
15,1236|3056|3727,2.1689219978176095,0.6741292455782121,1.0,1.0,165,744,0.48751639291033344,744.4875163929104
16,1534|4141|4218,2.153590247063213,0.6883687939334951,1.0,1.0,166,760,0.49020264070666564,760.4902026407067
17,887|3275|3932,1.9596918866132857,0.6909254988622898,1.0,1.0,175,760,0.4905041387788862,760.4905041387789
