archive_index,chromosome,f1,f2,norm_f1,norm_f2,strength,raw_fitness,density,total_fitness
1,1541|3427|5305,1.6149740243711237,0.6306918900720948,0.3479561546249468,1.0,197,0,0.4720560882130476,0.4720560882130476
2,1742|1776|3934,2.042681963734547,0.6175503323618728,0.9407618067053515,1.0,186,0,0.4735502111535548,0.4735502111535548
3,1562|1880|5243,3.7272904520697696,0.6290456625529472,1.0,1.0,81,186,0.46690132794711847,186.4669013279471
4,1749|2636|4230,1.7067865210846274,0.6419949217919065,0.47520880058794823,1.0,196,197,0.4758547092588776,197.47585470925887
5,1608|4225|4797,1.966109381700955,0.6504581286951714,0.8346317697192165,1.0,185,393,0.4801476219213036,393.4801476219213
6,1253|2484|4004,1.7581007038829524,0.7818476772130909,0.5463305516595056,1.0,138,393,0.48216757324072845,393.4821675732407
7,1672|2629|4233,1.7825351459171126,0.6643867882574198,0.5801968281771679,1.0,189,393,0.48310988894064083,393.48310988894065
8,1524|3273|5673,2.303975304223498,0.6501652733427107,1.0,1.0,170,579,0.48237105784574574,579.4823710578457
9,1323|3866|4429,1.9288755460107618,0.6732781598550592,0.7830254603328839,1.0,184,582,0.4852510148784911,582.4852510148785
10,743|2417|4004,1.8422684777315597,0.6790710172143047,0.662987567974753,1.0,185,582,0.4852532434077187,582.4852532434077
11,2111|2196|4725,1.844970850797574,0.6969574035277035,0.6667330725121422,1.0,180,767,0.4865873350663503,767.4865873350664
12,901|964|3936,2.4250023819808404,0.6525253230877621,1.0,1.0,162,934,0.4836583272318511,934.4836583272319
13,1817|3343|4377,1.8652238686843419,0.7368795676123672,0.6948038712278051,1.0,160,947,0.48733016645582666,947.4873301664559
14,666|3145|4945,2.1783551045720837,0.6690023483901286,1.0,1.0,175,953,0.48514430133654,953.4851443013365
15,536|3441|4567,3.2260394226580584,0.6539301529837397,1.0,1.0,102,1096,0.47837329083753594,1096.4783732908375
