archive_index,chromosome,f1,f2,norm_f1,norm_f2,strength,raw_fitness,density,total_fitness
1,1312|1332|2569|2622|4072|4808,0.7712901031373263,0.22237667844295175,0.7486264135235193,0.07763261395208496,143,0,0.4984190819397393,0.4984190819397393
2,1312|1332|2622|2638|4072|4808,0.7580384343703095,0.23676568811722254,0.51155037729408,0.1795273289170445,138,0,0.499058666465173,0.499058666465173
3,1312|1332|2622|2785|4071|4808,0.7544761689142959,0.24012919149656659,0.4478204585074913,0.2033457310086609,137,0,0.4992094430519453,0.4992094430519453
4,1312|1332|2569|2622|4071|4808,0.7704213351606847,0.2235580429411026,0.7330839130334754,0.08599835986050886,141,0,0.4986638416811138,0.4986638416811138
5,1312|1332|2622|2926|4071|4808,0.7419470253545337,0.2583362140142142,0.22367059899008357,0.3322774234456752,144,0,0.49918666909797954,0.49918666909797954
6,1312|1332|2622|3071|4214|4807,0.7329851344896139,0.29380474907330933,0.06333988134762038,0.5834452488821626,146,0,0.49850246852986857,0.49850246852986857
7,1312|1332|2622|2927|4071|4808,0.7421067490761823,0.2574095182687208,0.22652810074975033,0.3257150956007554,144,0,0.4990585776488739,0.4990585776488739
8,1167|1332|2567|2622|4072|4808,0.7782537536223625,0.22107327412004038,0.8732080555570649,0.06840265198989168,137,0,0.49844229020506664,0.49844229020506664
9,1167|1332|2569|2622|4072|4808,0.785340951792226,0.21141382886258223,1.0,0.0,142,0,0.497612226357964,0.497612226357964
10,1312|1332|2622|2783|4071|4808,0.7484016661519854,0.24035958691948525,0.3391459162839652,0.20497725927078356,149,0,0.499058666465173,0.499058666465173
11,1167|1332|2622|2783|4071|4808,0.7624525148068851,0.2303564261702349,0.5905195027604458,0.13414061127574425,148,0,0.4988238637239327,0.4988238637239327
12,1167|1332|2622|2785|4071|4808,0.7685270175691954,0.23006857636192127,0.699194044983968,0.132102224004153,137,0,0.49895734924234086,0.49895734924234086
13,1332|1457|2695|3144|4214|4807,0.7295371020611783,0.3494275737143439,0.0016536231641458559,0.97733419542159,142,0,0.49803495826511673,0.49803495826511673
14,1312|1332|2622|2856|4071|4808,0.7468676287346766,0.2488601430360833,0.31170156065470056,0.26517332294382423,147,0,0.4985523620761528,0.4985523620761528
15,1312|1332|2622|3071|4214|4808,0.7337056698675205,0.2833015772060644,0.07623045945974123,0.5090678088867906,151,0,0.49866051306728404,0.49866051306728404
16,1312|1332|2622|3144|4213|4807,0.7326774512123533,0.30226881904153746,0.0578353420273662,0.6433829385758619,138,0,0.4975956574289416,0.4975956574289416
17,1312|1332|2622|2638|4071|4808,0.7567751778346934,0.23810465461542435,0.4889503668749984,0.18900912181109356,139,0,0.49916114064256073,0.49916114064256073
18,1312|1332|2622|2927|4214|4808,0.7398181964083275,0.27115419598374313,0.18558525764550893,0.4230470211301199,143,0,0.4980444976987046,0.4980444976987046
19,1312|1332|2622|2998|4214|4808,0.7359000983273416,0.27829958256516935,0.11548939432976645,0.47364655129311345,151,0,0.4985251045166336,0.4985251045166336
20,1312|1332|2622|2998|4071|4807,0.7389769697007685,0.27635459329828765,0.17053547811171899,0.45987325268221657,144,0,0.4984665205997742,0.4984665205997742
21,1332|1457|2695|3144|4214|4808,0.7302927238069605,0.3414030551256436,0.015171906146339183,0.9205091565317559,142,0,0.4970082858678246,0.4970082858678246
22,1167|1332|2569|2622|4071|4808,0.7844721838155844,0.21267744148310697,0.984457499509956,0.008948179944914739,142,0,0.4978742799318875,0.4978742799318875
23,1312|1332|2622|3071|4071|4808,0.7392328163828991,0.2731364224808411,0.17511264634225365,0.43708401245127704,141,0,0.49813039218305327,0.49813039218305327
24,1312|1332|2622|2998|4071|4808,0.7403753280677097,0.26619045269355995,0.195552497831365,0.3878966376664937,145,0,0.49839212171304903,0.49839212171304903
25,1312|1332|2692|2782|4071|4808,0.7454099492301041,0.25735258756837676,0.28562326930039983,0.3253119450285039,138,0,0.4990655647258897,0.4990655647258897
26,1312|1332|2622|2926|4214|4808,0.7392745397694608,0.2722652166805374,0.1758590893207215,0.43091463257682344,141,0,0.4979531667181067,0.4979531667181067
27,1332|1457|2695|3144|4213|4807,0.7294446706759348,0.35262831362971664,0.0,1.0,139,0,0.49831630956562206,0.49831630956562206
28,1332|1457|2695|3071|4214|4808,0.7313400494778057,0.3364292243107964,0.03390885339809389,0.8852873390032697,137,0,0.4960022562323023,0.4960022562323023
29,1332|1457|2695|3071|4213|4808,0.7324715158695257,0.3404260139001874,0.054151101524870335,0.9135903108689517,134,137,0.49680761080880254,137.49680761080882
30,1332|1457|2622|3071|4214|4808,0.7308981436439238,0.3443992717536202,0.02600303524603201,0.9417266444751307,139,142,0.4976156299613994,142.4976156299614
31,1332|1457|2695|3071|4214|4807,0.7306195140998991,0.3448373961356034,0.02101827528597304,0.9448291901007135,138,142,0.4977048278465221,142.49770482784652
32,1312|1332|2692|2926|4071|4808,0.7403502919719147,0.27199328319048577,0.19510459512129247,0.42898895554376243,139,143,0.49792232623370275,143.4979223262337
33,1312|1332|2622|2926|4071|4807,0.7405805481958886,0.26886682796116773,0.1992239429450741,0.40684919251255763,140,145,0.49802729084998,145.49802729085
34,1312|1332|2622|2927|4071|4807,0.7406898989800162,0.2678778168093703,0.2011802588563269,0.39984558269570103,140,145,0.4980744089884251,145.49807440898843
35,1312|1332|2622|3000|4071|4808,0.7416564643355538,0.26721171450943526,0.21847238162790442,0.3951286281918239,139,145,0.49818693657494545,145.49818693657494
36,1312|1332|2622|2783|4071|4807,0.747049355139591,0.25163059888945266,0.31495269653145685,0.2847921025466241,143,147,0.49878036695295036,147.49878036695296
37,1312|1332|2622|3144|4214|4808,0.7337626809208808,0.2894326345766734,0.07725040304492718,0.5524844412578906,143,151,0.4986669989022556,151.49866699890225
38,1312|1332|2622|3071|4071|4807,0.7377875195956566,0.28281925890397497,0.14925588524153632,0.505652307262543,139,151,0.4986761961438257,151.49867619614383
39,1312|1332|2622|3071|4213|4808,0.7345999596817384,0.28742132886355226,0.09222955271528992,0.5382415276046786,140,151,0.49888158813175476,151.49888158813175
40,1312|1332|2569|2695|4072|4808,0.7720034694089963,0.22248547234964494,0.761388734333126,0.07840303001013021,140,286,0.49843584878275354,286.4984358487828
41,1312|1332|2622|2998|4214|4807,0.7351755802014613,0.2891104757414898,0.10252756374978722,0.5502030971329247,138,291,0.49870376738070005,291.4987037673807
42,1312|1332|2622|3144|4214|4807,0.7330070591750988,0.2993689073217138,0.06373212006273783,0.6228474267648343,139,292,0.49797070154863354,292.49797070154864
