archive_index,chromosome,f1,f2,norm_f1,norm_f2,strength,raw_fitness,density,total_fitness
1,1608|3348|4162,1.608511590716114,0.5804412799722128,0.9749071975360352,1.0,197,0,0.472291148997297,0.472291148997297
2,523|3066|5094,1.927569890481182,0.5419522353641377,1.0,1.0,191,0,0.4643813038781196,0.4643813038781196
3,1418|1593|4368,2.40673230117727,0.5755985470003422,1.0,1.0,165,191,0.47556901229970183,191.4755690122997
4,1251|3136|4525,1.6660434928580983,0.5882421696900729,1.0,1.0,195,197,0.47438074149314136,197.47438074149315
5,1685|2414|4655,1.6599672385976227,0.6749372130544868,1.0,1.0,175,197,0.4812307098126612,197.48123070981265
6,814|2626|3871,1.8950164221277517,0.6024888503690471,1.0,1.0,190,392,0.47908520734753546,392.4790852073475
7,1608|2189|4294,1.6976264515100572,0.6453609008659703,1.0,1.0,183,392,0.48136516066096113,392.48136516066097
8,1464|3078|4869,1.9044357481322753,0.6312790150826937,1.0,1.0,183,582,0.4814839010333597,582.4814839010334
9,1606|3842|4024,2.3770515685804092,0.598324826129739,1.0,1.0,167,583,0.4809749608909111,583.4809749608909
10,1613|3790|4719,1.861257881151998,0.6962770411277657,1.0,1.0,168,750,0.4844618680036436,750.4844618680037
11,524|3564|4236,2.1635314297431845,0.6097387900804542,1.0,1.0,178,773,0.48123369804934485,773.4812336980493
12,2110|2912|4869,1.8879806068905314,0.720606195756479,1.0,1.0,159,918,0.48486028048196966,918.4848602804819
13,966|3417|5820,2.3029718477565875,0.6298479106104807,1.0,1.0,167,951,0.4836306419709558,951.483630641971
14,1131|1806|5314,4.354684323064333,0.6036085927324553,1.0,1.0,62,1105,0.46828711087148867,1105.4682871108714
15,876|3000|3363,3.190406688111718,0.6079130002666818,1.0,1.0,111,1105,0.4816212586928443,1105.481621258693
16,532|3706|5534,2.478286528302101,0.615663687669381,1.0,1.0,160,1283,0.48349555951028234,1283.4834955595102
17,1888|2492|4014,2.0155353539796894,0.6927548085203732,1.0,1.0,167,1314,0.4863011402817598,1314.4863011402817
18,234|3499|3842,3.121634768207875,0.6251479545101777,1.0,1.0,114,1443,0.4846547603642593,1443.4846547603643
19,1603|1974|3717,1.9593507378880188,0.8129436803849112,1.0,1.0,117,1641,0.4884025209598576,1641.4884025209599
20,1323|1822|4229,2.1003340599067943,0.7149568382042413,1.0,1.0,160,1649,0.4876891369164007,1649.4876891369163
21,315|3051|5013,2.3488554015468908,0.6820944896322277,1.0,1.0,152,1659,0.48712408500052534,1659.4871240850005
22,1905|4005|4082,2.0166757336154384,0.7759415269247966,1.0,1.0,136,1808,0.4859999052690176,1808.485999905269
23,605|3869|3989,2.468165460761952,0.6619064772262299,1.0,1.0,155,1816,0.4866200131453217,1816.4866200131453
24,593|2618|4952,2.1918081642322256,0.7033239959398323,1.0,1.0,156,1827,0.4885040523294588,1827.4885040523295
25,1530|1909|5302,2.30286055122522,0.6984404732345161,1.0,1.0,152,1827,0.4893627343942355,1827.4893627343943
26,1881|2486|5602,2.610828273578215,0.6607930899947864,1.0,1.0,149,1976,0.4863011402817598,1976.4863011402817
27,600|3652|3871,3.070672884772936,0.648933429771185,1.0,1.0,115,1976,0.48649039520827747,1976.4864903952082
28,392|535|4506,3.403726783045572,0.6383564815809126,1.0,1.0,99,2018,0.48303750091761016,2018.4830375009176
29,2472|3349|5026,2.065189248098891,0.8401217656171118,1.0,1.0,107,2061,0.48553956507269813,2061.4855395650725
30,2048|2975|4807,2.120928503458911,0.7996427060005865,1.0,1.0,119,2104,0.4880244293984653,2104.4880244293986
31,681|2935|3439,3.854778479836016,0.6438258032385861,1.0,1.0,76,2117,0.4778888151732711,2117.477888815173
32,829|2974|4589,2.1886199736700056,0.7410721312527577,1.0,1.0,142,2146,0.48698108586051125,2146.4869810858604
33,398|2832|5104,3.072012806050433,0.6678454771756726,1.0,1.0,112,2395,0.4873971393733057,2395.487397139373
34,2264|3713|4022,2.1228716872489546,0.849039764609666,1.0,1.0,102,2447,0.4854367194545261,2447.4854367194544
35,1690|3631|3860,2.1389101494388507,0.8413606837689234,1.0,1.0,105,2447,0.4867655356081343,2447.4867655356084
36,1042|2541|4866,2.2954042077591343,0.7809705341040766,1.0,1.0,124,2580,0.4888397076047768,2580.4888397076047
37,680|1254|4793,2.806396374382988,0.6847885311202508,1.0,1.0,129,2607,0.4884831196133048,2607.488483119613
38,2110|2183|4738,2.7882655494269883,0.6909867256978911,1.0,1.0,129,2607,0.4894983238284435,2607.4894983238282
39,1806|3578|4167,3.2546087240509545,0.6646548194781429,1.0,1.0,103,2620,0.4871016248959416,2620.487101624896
40,815|3294|4206,2.632864478432731,0.6953467908737099,1.0,1.0,139,2774,0.48949707325066616,2774.4894970732507
41,1405|3262|4507,2.192558034769742,0.8251337361081559,1.0,1.0,108,2816,0.4879086131063433,2816.4879086131064
