archive_index,chromosome,f1,f2,norm_f1,norm_f2,strength,raw_fitness,density,total_fitness
1,1028|2772|4514,1.4216110721587167,0.4582316850781636,0.22546219319878244,0.30720069439736875,131,0,0.4990462126219502,0.4990462126219502
2,1028|2772|4513,1.4215696699731062,0.45826543543746295,0.225296176210633,0.3078364582691874,131,0,0.49903604815337077,0.49903604815337077
3,955|2773|4513,1.451621770480562,0.452227391827048,0.3458009065826741,0.19409633627768963,131,0,0.4991831509650912,0.4991831509650912
4,666|2628|4656,1.5866269122011856,0.4419827106169063,0.8871526898913542,0.0011147406171957998,125,0,0.49902456780829535,0.49902456780829535
5,1029|2773|4513,1.4182915868441632,0.4611553604213732,0.21215152019923697,0.3622746904888512,129,0,0.4987949083794429,0.4987949083794429
6,955|2628|4513,1.4541288988146595,0.44898411290039136,0.3558541414250624,0.13300188837835894,144,0,0.49891072729902236,0.49891072729902236
7,1390|2773|4513,1.369956405977972,0.4929792918364905,0.0183341883185877,0.9617499634333863,127,0,0.4961783735228867,0.4961783735228867
8,1317|2846|4513,1.372445880453755,0.48004606360986257,0.02831663365207987,0.7181235421695209,132,0,0.4980978676223174,0.4980978676223174
9,1173|2702|4513,1.3979879102143218,0.4637660295123028,0.13073660954322022,0.4114525103326135,136,0,0.49871878942536124,0.49871878942536124
10,1390|2846|4658,1.3685940908230558,0.4941922131822578,0.012871494608236278,0.9845980630389782,127,0,0.49644982666121257,0.49644982666121257
11,883|2628|4513,1.4747373267312598,0.44580335714530905,0.43849106222417383,0.07308520493735296,147,0,0.4987039402948389,0.4987039402948389
12,811|2628|4513,1.49858631842161,0.4443401994262893,0.5341221916547998,0.04552334083172504,139,0,0.4986032390346473,0.4986032390346473
13,1390|2846|4514,1.3653841301148442,0.4950098452141846,0.0,1.0,129,0,0.49644474413520834,0.49644474413520834
14,665|2557|4656,1.6147693651564423,0.4419235331486297,1.0,0.0,120,0,0.49833357392022415,0.49833357392022415
15,1028|2773|4513,1.4229578291080498,0.4543002800628014,0.23086250067531938,0.23314384504404734,148,0,0.49916378227140745,0.49916378227140745
16,1245|2773|4513,1.3787234558514803,0.46892081168720134,0.05348883519271324,0.5085544180434572,146,0,0.49867611253765526,0.49867611253765526
17,1317|2773|4513,1.3734169856347804,0.47670052173584204,0.032210629946060616,0.6551027418191555,137,0,0.49855653822026963,0.49855653822026963
18,1028|2628|4513,1.4294127315541152,0.45411906722780826,0.25674575894034335,0.22973029401851477,141,0,0.4991745296931041,0.4991745296931041
19,1390|2846|4513,1.3662115132694714,0.4949290521001895,0.0033176910192348015,0.9984780801142233,129,0,0.49642164075382045,0.49642164075382045
20,1173|2773|4513,1.388066977161707,0.46404881963372563,0.09095505210274048,0.41677949784445345,147,0,0.4983832157956989,0.4983832157956989
21,1173|2702|4656,1.413905531539721,0.462252469985915,0.19456405034076465,0.382941214906427,129,0,0.49875014041712273,0.49875014041712273
22,1028|2629|4513,1.4324015463085724,0.45279603419488124,0.2687304891267904,0.20480799330767913,140,0,0.49912174582060276,0.49912174582060276
23,1317|2846|4514,1.3716184972991283,0.4801126107210229,0.02499894263284774,0.7193771065738094,132,0,0.49807252346223857,0.49807252346223857
24,1245|2846|4514,1.3786554934890884,0.47373527422242484,0.05321631560116453,0.5992456404677658,134,0,0.49877743200904295,0.49877743200904295
25,666|2628|4513,1.565272920733062,0.442643695131394,0.8015261632665456,0.013565869519717283,140,0,0.4990129280754164,0.4990129280754164
26,1317|2773|4514,1.3734797855954592,0.47741705603164725,0.03246244902696306,0.6686002757017196,136,137,0.49848897073222254,137.4984889707322
27,666|2628|4512,1.5691175571685316,0.4438843885859281,0.8169426189954837,0.036937119212142544,126,140,0.49902456780829535,140.4990245678083
28,1028|2702|4656,1.4490749671656704,0.4532692787002551,0.33558858060248187,0.21372261719018654,129,140,0.49911793629717405,140.49911793629718
29,1027|2628|4513,1.4369528021744673,0.45381708462526515,0.2869803901890394,0.22404177298939915,134,140,0.4992697319016514,140.49926973190165
30,665|2628|4513,1.578665604944625,0.4430382130091793,0.8552289584995075,0.020997500432373112,126,140,0.4993229077813771,140.4993229077814
31,1245|2773|4514,1.3787862558121589,0.4696398341028313,0.053740654273614796,0.5220988212550051,145,146,0.49876916831570256,146.4987691683157
32,1173|2773|4514,1.3881297771223857,0.4647732848057517,0.09120687118364293,0.4304264276053953,142,147,0.49833876785760695,147.4983387678576
33,1390|2773|4514,1.370019205938651,0.49369547962219734,0.01858600739949015,0.9752409700194619,126,254,0.49630367140553205,254.49630367140554
34,1317|2846|4658,1.3748284580073398,0.4793527611155988,0.037870437241083126,0.705063631482796,132,273,0.4982901421621923,273.4982901421622
35,1028|2773|4656,1.438757216498526,0.4540125830727078,0.29421583988900973,0.22772442563253695,131,274,0.49922306289211754,274.4992230628921
36,811|2628|4656,1.5199403098897342,0.4457606597182388,0.6197487182796111,0.07228090293540711,125,278,0.49795703194136615,278.4979570319414
37,1245|2773|4658,1.3858858929576452,0.4722477678019234,0.08220920873435542,0.5712251138456762,130,291,0.49866675202016236,291.49866675202014
38,1245|2773|4441,1.38383177393449,0.472601754902972,0.07397247802809498,0.5778932564849969,131,291,0.49868899343418355,291.4986889934342
39,1245|2846|4513,1.3794828766437153,0.473662908271386,0.05653400662039755,0.5978824651364402,134,291,0.4987868474255336,291.49878684742555
40,1245|2846|4658,1.3818654541973001,0.4729490023874223,0.06608781020940081,0.584434443298304,131,291,0.4987891100849263,291.49878911008494
41,1028|2773|4514,1.4230206290687286,0.4550454697306629,0.23111431975622182,0.24718116726265066,143,296,0.49920481193037747,296.4992048119304
42,1391|2846|4514,1.3665213732639498,0.5070824927139953,0.004560186367552942,1.0,124,387,0.49331250292913625,387.49331250292914
43,1391|2846|4513,1.3673487564185771,0.5069718708760764,0.007877877386787744,1.0,124,387,0.4933469809735123,387.4933469809735
44,666|2628|4441,1.5668836007818094,0.4444314689779774,0.8079847655509942,0.04724260796739342,126,418,0.49884521842778523,418.4988452184278
45,1173|2773|4656,1.4038663645521838,0.4646630425737999,0.15430839131643348,0.42834976739559133,129,419,0.4987659923430421,419.49876599234307
46,1171|2702|4513,1.4129686411947093,0.46449708981561627,0.19080725076577984,0.4252236742140058,126,419,0.4988646132698154,419.4988646132698
47,1245|2702|4513,1.3882149923270448,0.46779450551423796,0.09154857226568526,0.4873379098864668,136,431,0.4987778174033356,431.4987778174033
48,1173|2773|4441,1.3931752952447176,0.4676961579955428,0.11143869493812578,0.4854853133343896,131,431,0.4988697597510487,431.4988697597511
49,1027|2773|4513,1.432059307764504,0.45470482498140896,0.26735816031184967,0.24076435780650904,134,437,0.49934401592858724,437.4993440159286
50,955|2773|4514,1.451684570441241,0.45298697230033586,0.3460527256635774,0.20840474166003847,127,533,0.49909559097785683,533.4990955909778
51,1027|2773|4656,1.4478586951549801,0.45408549835074785,0.33071149952553913,0.2290979487725509,129,536,0.4991779370289262,536.4991779370289
52,1245|2773|4512,1.3850075735351464,0.47323219410527284,0.07868727038723425,0.5897689957814527,130,553,0.49872693741607466,553.4987269374161
53,1245|2772|4514,1.380707165876503,0.47610873849247703,0.0614432356394436,0.6439551743890761,130,559,0.4987666096324693,559.4987666096325
54,1245|2772|4513,1.3806657636908937,0.47620356880256554,0.0612772186512986,0.6457415164120707,130,559,0.4987940675017083,559.4987940675018
55,955|2628|4441,1.455739578863407,0.45075965631858783,0.3623127437095119,0.16644823921930443,140,576,0.49909848939671764,576.4990984893967
56,883|2628|4441,1.4763480067800079,0.44758606150021957,0.4449496645086251,0.10666644811561515,134,588,0.49891072729902236,588.4989107272991
57,666|2628|4514,1.5682986191326338,0.4452177512370961,0.8136587917241489,0.06205400149851192,124,670,0.4987269417414075,670.4987269417414
58,1171|2773|4513,1.4038548068432106,0.46510070168264944,0.15426204651590317,0.43659406035587583,129,703,0.49865341237190797,703.4986534123719
59,1173|2702|4514,1.3999291981564093,0.46718022529983677,0.13852090335581768,0.475766561444657,129,703,0.4989081529949995,703.498908152995
60,1028|2773|4441,1.4280661471910603,0.4577428730542159,0.2513461435107038,0.29799282131430244,132,725,0.4991623687192349,725.4991623687192
61,665|2628|4656,1.6000195964127482,0.44198766763623126,0.9408554851243144,0.001208117217153184,124,750,0.49865469613319113,750.4986546961331
62,1391|2846|4658,1.3697313339721613,0.5061394754470823,0.01743168097578833,1.0,124,768,0.49359491592900445,768.493594915929
63,1173|2628|4513,1.401214510650505,0.46757422725539677,0.14367482713916155,0.4831884738026572,128,832,0.4988536722211568,832.4988536722211
64,883|2628|4656,1.496091318199385,0.4480538738865679,0.5241175888489886,0.11547874582751243,125,856,0.49882269571711324,856.4988226957171
65,883|2628|4514,1.4777630251308331,0.4489149498547984,0.4506236906817834,0.13169904696968188,128,856,0.4990605628182094,856.4990605628182
66,955|2628|4514,1.4571545972142326,0.4522174825393451,0.36798676988267104,0.19390967257253885,130,856,0.4991810268805723,856.4991810268806
67,955|2773|4656,1.467421157871038,0.45112354403240307,0.40915424579636356,0.17330288215185324,131,856,0.4991907161375779,856.4991907161376
68,955|2628|4512,1.45797353525013,0.45113779504230633,0.371270597154004,0.17357133195272972,133,856,0.49922359185339604,856.4992235918534
