K,Lambda,PopSize,ArchiveSize,MaxGen,MutRate,CrossRate,FunctionEvals,Runtime_ms,ND_Count,Best_f1,Best_f2,Mean_f1,Mean_f2,Final_HV
3,0.40,100,50,299,0.40,0.90,30000,15065,37,1.364141,0.442528,1.420766,0.467879,1.035449
3,0.40,100,50,299,0.40,0.90,30000,15483,21,1.361433,0.451378,1.393328,0.474146,0.970923
3,0.40,200,100,149,0.05,0.70,30000,13559,20,1.366501,0.446101,1.542167,0.470058,0.826520
3,0.40,200,100,149,0.05,0.70,30000,13058,11,1.371742,0.447031,1.600809,0.476414,0.919167
3,0.40,200,100,149,0.05,0.70,30000,13033,16,1.377379,0.440658,1.618634,0.474105,0.883419
3,0.40,200,100,149,0.10,0.70,30000,13242,17,1.361543,0.446396,1.667141,0.463681,0.768892
3,0.40,200,100,149,0.10,0.70,30000,13307,15,1.363843,0.446178,1.558286,0.481199,0.723974
3,0.40,200,100,149,0.10,0.70,30000,14372,13,1.367347,0.445477,1.407601,0.481133,0.980018
3,0.40,200,100,149,0.20,0.70,30000,14316,25,1.362504,0.441976,1.478970,0.466434,0.947717
3,0.40,200,100,149,0.20,0.70,30000,14557,23,1.365352,0.441796,1.413467,0.468170,1.046950
3,0.40,200,100,149,0.20,0.70,30000,14288,11,1.366054,0.445452,1.422351,0.470001,0.985835
3,0.40,200,100,149,0.30,0.70,30000,14035,34,1.364757,0.440950,1.434210,0.462203,1.056762
3,0.40,200,100,149,0.30,0.70,30000,14402,27,1.364428,0.445646,1.411861,0.465031,1.025015
3,0.40,200,100,149,0.30,0.70,30000,14572,19,1.369249,0.440518,1.495604,0.462347,0.982884
3,0.40,200,100,149,0.40,0.70,30000,14683,30,1.362347,0.442799,1.412003,0.464879,1.040761
3,0.40,200,100,149,0.40,0.70,30000,18340,32,1.361433,0.441796,1.407122,0.465890,1.057442
3,0.40,200,100,149,0.40,0.70,30000,21315,28,1.362395,0.443991,1.436392,0.467372,1.016853
3,0.40,200,100,149,0.05,0.90,30000,19637,13,1.371043,0.449959,1.521831,0.477160,0.847243
3,0.40,200,100,149,0.05,0.90,30000,17455,23,1.367669,0.442234,1.508943,0.481167,0.818852
3,0.40,200,100,149,0.05,0.90,30000,16075,7,1.376373,0.470314,1.400493,0.501540,0.653825
3,0.40,200,100,149,0.10,0.90,30000,15215,18,1.364051,0.443616,1.520767,0.466235,0.942903
3,0.40,200,100,149,0.10,0.90,30000,14900,19,1.359982,0.443448,1.426743,0.471014,0.976920
3,0.40,200,100,149,0.10,0.90,30000,14844,21,1.363672,0.440499,1.636627,0.469471,0.848919
3,0.40,200,100,149,0.20,0.90,30000,15401,16,1.366126,0.441018,1.460095,0.464529,0.988292
3,0.40,200,100,149,0.20,0.90,30000,15437,15,1.367187,0.441186,1.476123,0.471288,0.964803
3,0.40,200,100,149,0.20,0.90,30000,15475,24,1.364702,0.441351,1.463144,0.462132,1.000314
3,0.40,200,100,149,0.30,0.90,30000,15788,17,1.364757,0.444109,1.558253,0.457804,1.009215
3,0.40,200,100,149,0.30,0.90,30000,15995,28,1.363023,0.443641,1.430958,0.468834,1.028748
3,0.40,200,100,149,0.30,0.90,30000,15938,25,1.367158,0.442170,1.442869,0.461205,1.024712
3,0.40,200,100,149,0.40,0.90,30000,16218,28,1.361543,0.442408,1.420258,0.466037,1.042011
3,0.40,200,100,149,0.40,0.90,30000,16105,32,1.362014,0.442259,1.434004,0.475718,1.019658
3,0.40,200,100,149,0.40,0.90,30000,16121,29,1.364965,0.441250,1.454338,0.465983,1.041205
3,0.50,50,25,599,0.05,0.70,30000,13840,10,1.377883,0.458215,1.397508,0.497779,0.860736
3,0.50,50,25,599,0.05,0.70,30000,13631,10,1.387129,0.448118,1.434921,0.476242,0.998673
3,0.50,50,25,599,0.05,0.70,30000,13720,5,1.373417,0.454047,1.408815,0.464274,0.947180
3,0.50,50,25,599,0.10,0.70,30000,14070,12,1.365011,0.453352,1.430444,0.473830,0.919349
3,0.50,50,25,599,0.10,0.70,30000,14271,21,1.376267,0.444040,1.440467,0.472577,1.028127
3,0.50,50,25,599,0.10,0.70,30000,14085,16,1.370999,0.440661,1.586962,0.460007,0.986895
3,0.50,50,25,599,0.20,0.70,30000,14448,10,1.361050,0.447293,1.541130,0.474789,0.986703
3,0.50,50,25,599,0.20,0.70,30000,14653,24,1.369956,0.446305,1.406761,0.465099,1.058425
3,0.50,50,25,599,0.20,0.70,30000,14555,20,1.361605,0.449725,1.462521,0.468725,0.982143
3,0.50,50,25,599,0.30,0.70,30000,14957,11,1.368113,0.441610,1.425074,0.462019,1.114844
3,0.50,50,25,599,0.30,0.70,30000,15040,16,1.363661,0.452998,1.406665,0.471508,0.964266
3,0.50,50,25,599,0.30,0.70,30000,14258,25,1.367058,0.441869,1.438656,0.461889,1.105303
3,0.50,50,25,599,0.40,0.70,30000,14133,25,1.365330,0.449851,1.392838,0.469727,1.018081
3,0.50,50,25,599,0.40,0.70,30000,14665,13,1.361483,0.443209,1.408407,0.467937,1.103541
3,0.50,50,25,599,0.40,0.70,30000,14777,25,1.366344,0.445103,1.404107,0.464435,1.080721
3,0.50,50,25,599,0.05,0.90,30000,13258,10,1.378953,0.452018,1.496934,0.468999,0.911647
3,0.50,50,25,599,0.05,0.90,30000,13432,14,1.367877,0.449940,1.496594,0.513675,0.798829
3,0.50,50,25,599,0.05,0.90,30000,13126,14,1.377689,0.460329,1.846168,0.495958,0.407803
3,0.50,50,25,599,0.10,0.90,30000,13420,12,1.385514,0.447583,1.480245,0.459992,0.991700
3,0.50,50,25,599,0.10,0.90,30000,13641,11,1.367513,0.445945,1.415871,0.468521,1.058368
3,0.50,50,25,599,0.10,0.90,30000,13815,10,1.378226,0.450950,1.462364,0.462374,0.962181
3,0.50,50,25,599,0.20,0.90,30000,14252,24,1.369634,0.448482,1.403998,0.466364,1.031221
3,0.50,50,25,599,0.20,0.90,30000,14151,16,1.367544,0.442818,1.470189,0.460901,1.085046
3,0.50,50,25,599,0.20,0.90,30000,14057,19,1.377269,0.446358,1.449249,0.457192,1.043147
3,0.50,50,25,599,0.30,0.90,30000,14607,15,1.365702,0.443209,1.407610,0.469592,1.087368
3,0.50,50,25,599,0.30,0.90,30000,14519,19,1.367191,0.442228,1.440901,0.464470,1.101476
3,0.50,50,25,599,0.30,0.90,30000,14464,14,1.364626,0.441601,1.622678,0.460681,1.003836
3,0.50,50,25,599,0.40,0.90,30000,14908,22,1.365384,0.445305,1.430164,0.461268,1.068965
3,0.50,50,25,599,0.40,0.90,30000,15003,25,1.363412,0.442169,1.424562,0.464364,1.106221
3,0.50,50,25,599,0.40,0.90,30000,14941,20,1.365061,0.446305,1.404402,0.473590,1.060260
3,0.50,100,50,299,0.05,0.70,30000,13332,12,1.368635,0.463758,1.410737,0.486604,0.784966
3,0.50,100,50,299,0.05,0.70,30000,13257,6,1.380762,0.446137,1.586869,0.460091,1.013008
3,0.50,100,50,299,0.05,0.70,30000,13502,12,1.372858,0.448597,1.527607,0.478821,0.937036
3,0.50,100,50,299,0.10,0.70,30000,13844,19,1.370449,0.446146,1.440894,0.473099,1.012771
3,0.50,100,50,299,0.10,0.70,30000,13546,12,1.363884,0.447762,1.398996,0.484970,1.024418
3,0.50,100,50,299,0.10,0.70,30000,13486,22,1.367735,0.443444,1.450195,0.472439,1.057784
3,0.50,100,50,299,0.20,0.70,30000,14041,20,1.364850,0.447096,1.461681,0.462980,1.027473
3,0.50,100,50,299,0.20,0.70,30000,14109,19,1.370566,0.442220,1.520362,0.462308,1.081270
3,0.50,100,50,299,0.20,0.70,30000,13988,21,1.373205,0.442146,1.447858,0.458965,1.094540
3,0.50,100,50,299,0.30,0.70,30000,14560,28,1.361605,0.442162,1.416741,0.465344,1.104772
3,0.50,100,50,299,0.30,0.70,30000,14578,16,1.368402,0.444340,1.404239,0.470751,1.083171
3,0.50,100,50,299,0.30,0.70,30000,14519,21,1.364855,0.441960,1.464075,0.461750,1.092329
3,0.50,100,50,299,0.40,0.70,30000,14917,20,1.364136,0.443605,1.440792,0.464070,1.074703
3,0.50,100,50,299,0.40,0.70,30000,14808,27,1.361641,0.444889,1.409909,0.466246,1.075821
3,0.50,100,50,299,0.40,0.70,30000,15007,21,1.363701,0.441276,1.420442,0.468952,1.110313
3,0.50,100,50,299,0.05,0.90,30000,13576,20,1.368533,0.446768,1.558051,0.481062,0.825955
3,0.50,100,50,299,0.05,0.90,30000,13616,19,1.384482,0.451299,1.476491,0.465613,0.932033
