archive_index,chromosome,f1,f2,norm_f1,norm_f2,strength,raw_fitness,density,total_fitness
1,1465|1477|1955|2106|2200|3581|3703|4084|5103|5304,0.640084379022226,0.5627494417651933,1.0,1.0,198,0,0.4765922316289564,0.4765922316289564
2,680|1523|2402|2928|3776|4005|4676|4720|5091|5228,0.6270773462828981,0.7138671202752799,1.0,1.0,162,0,0.48092418651213426,0.48092418651213426
3,1229|1233|1401|2484|2754|2982|3354|3999|4017|4737,0.6844116618822791,0.5831632369991913,1.0,1.0,187,198,0.4809489591378356,198.48094895913783
4,1317|1331|2348|3338|3773|3923|4496|5025|5377|5385,0.8405494710620989,0.5733149575694239,1.0,1.0,153,198,0.4820173845845192,198.4820173845845
5,1469|1522|1663|2353|3191|4239|4280|4293|4719|5247,0.7569207544045611,0.5756682081338718,1.0,1.0,177,198,0.48247906737959306,198.4824790673796
6,811|1522|1848|2257|2344|3848|4297|4883|4951|5155,0.6436150172995142,0.7046777785055842,1.0,1.0,166,198,0.4832754894586003,198.4832754894586
7,450|1228|1740|1828|2426|3557|3938|4497|4874|5672,0.6816828151501769,0.6261959606818889,1.0,1.0,183,198,0.48633147187668313,198.4863314718767
8,318|462|1026|2397|2475|2638|3486|4153|4577|4589,0.6816539868764062,0.6266955310259451,1.0,1.0,183,198,0.4863794418278354,198.48637944182784
9,1258|1745|2716|2758|2845|3214|3433|4353|4866|4888,0.6477242638251456,0.6649221663244131,1.0,1.0,176,198,0.4881398727980766,198.4881398727981
10,536|1521|1534|1970|2412|3340|3426|3586|4793|5231,0.6567373918377876,0.6908080543905282,1.0,1.0,167,374,0.4854404068639454,374.485440406864
11,392|954|1590|2054|2251|2489|3788|4516|5020|5081,0.6607618417850804,0.6683458926418524,1.0,1.0,172,374,0.4887297239365828,374.48872972393656
12,244|1614|1734|3425|3487|3579|3948|4595|4718|5157,0.7266960201059197,0.6260125213611485,1.0,1.0,179,385,0.48825579710996647,385.48825579710996
13,960|1591|1921|1963|2617|2919|4074|4225|4307|4724,0.6616801500820302,0.6818296887010158,1.0,1.0,168,546,0.48706669986403367,546.487066699864
14,464|608|1452|2421|2686|2701|2792|3133|4727|4874,0.8206830089934029,0.6178410764943383,1.0,1.0,155,562,0.4883977825313393,562.4883977825314
15,887|2186|2201|2324|3272|4162|4581|4648|5168|5533,0.6549752612218501,0.8520814747352097,1.0,1.0,102,702,0.48000098986969947,702.4800009898697
16,744|1181|1244|2265|3076|3204|3926|4667|5533|5673,0.7200207744738903,0.6333179335202541,1.0,1.0,179,751,0.48954981996012725,751.4895498199601
17,465|1235|2205|2566|2916|2986|3123|3132|4090|5154,0.9089288857268828,0.6211462699264357,1.0,1.0,127,870,0.4843360229098019,870.4843360229098
