archive_index,chromosome,f1,f2,norm_f1,norm_f2,strength,raw_fitness,density,total_fitness
1,970|1025|1309|1751|2200|3053|3143|4229|4358|5025,0.4702392209398673,0.17757703079640005,0.7928812136643579,0.07106996041283302,164,0,0.4977768639693925,0.4977768639693925
2,970|1025|1309|1894|2200|3053|3143|4013|4358|5025,0.4638150564876462,0.1968830453353782,0.6956685978112515,0.2100948161596562,160,0,0.4947058599684885,0.4947058599684885
3,951|970|1309|1894|2200|3053|3143|4229|4358|5025,0.469182767144851,0.18578311690390292,0.7768945997310912,0.13016294073967682,159,0,0.49721269483002933,0.49721269483002933
4,970|1094|1750|2128|2908|3143|3870|3996|4727|5099,0.4464461949349623,0.23085089965250866,0.43283714657978833,0.454701285140287,169,0,0.4964614214056438,0.4964614214056438
5,820|1309|1751|2128|2908|2998|3941|3996|4797|5099,0.423896293940907,0.25850281315387835,0.09160446501249657,0.6538259298405199,170,0,0.49603183101615683,0.49603183101615683
6,951|970|1309|1751|2200|3053|3143|4013|4358|5025,0.4741596495818385,0.17084918911097513,0.8522064576530437,0.022621990070986888,163,0,0.49749144076246,0.49749144076246
7,820|1309|1894|2128|2998|3053|3996|4013|4797|5099,0.4178427365642879,0.30657509199649735,0.0,1.0,164,0,0.4979393285166357,0.4979393285166357
8,951|970|1309|1751|2200|3053|3143|4229|4358|5025,0.4743483304304944,0.1692254171211722,0.8550616396764249,0.010929019147738386,164,0,0.4972566520068339,0.4972566520068339
9,820|1309|1751|1769|2908|2998|3941|3996|4797|5099,0.42896326203021,0.23692535162022513,0.16827952930588638,0.4984441201437401,178,0,0.4972901405924552,0.4972901405924552
10,970|1025|1309|1894|2200|3124|3143|4229|4358|5025,0.46471825595352456,0.1939407177519416,0.7093361157224417,0.18890677307488066,160,0,0.4955472014615561,0.4955472014615561
11,820|1309|1898|2128|2908|3143|3996|4013|4797|5099,0.42282550760269694,0.2946562311323242,0.07540096621800672,0.9141708969004105,162,0,0.4967143268315197,0.4967143268315197
12,820|1309|1751|2128|2908|2998|3996|4013|4797|5099,0.42310507510917766,0.2599527398662387,0.07963147569743409,0.6642670207048402,171,0,0.4963885958826941,0.4963885958826941
13,820|1309|1751|1769|2908|2998|3996|4013|4727|5099,0.4315571593526691,0.23528591027188767,0.2075312554791528,0.48663831234753113,182,0,0.49766343258540935,0.49766343258540935
14,820|1309|1894|2128|2908|2998|3996|4013|4797|5099,0.41925693725106944,0.30430550507404686,0.021400160149350214,0.9836564406464361,171,0,0.4984031048067088,0.4984031048067088
15,951|970|1309|1894|2200|3053|3143|4013|4358|5025,0.4689940862961951,0.1871259381508846,0.77403941770771,0.1398327526927594,159,0,0.49743558885821243,0.49743558885821243
16,970|1025|1309|1894|2200|3053|3143|4229|4358|5025,0.46400373733630235,0.1957321699247401,0.698523779834636,0.2018072284950197,159,0,0.49500387249582256,0.49500387249582256
17,951|970|1309|1751|2200|3053|3143|3798|4358|5025,0.4839263862618577,0.16770773309676112,1.0,0.0,152,0,0.49416565025148596,0.49416565025148596
18,970|1025|1309|1894|2200|3124|3143|4013|4358|5025,0.4645295751048684,0.19511479144827906,0.7064809336990572,0.19736141429251303,160,0,0.49524274122508904,0.49524274122508904
19,951|970|1309|1894|2200|3124|3143|4013|4358|5025,0.4697086049134175,0.18520991671837622,0.7848517535955182,0.12603525954757927,159,0,0.49698044622624754,0.49698044622624754
20,970|1094|1750|1769|2838|3143|3798|3996|4727|5099,0.45618867132416824,0.22216320224634795,0.5802635740515177,0.3921401658463475,171,0,0.49668433072932466,0.49668433072932466
21,820|1309|1898|2128|3053|3143|3996|4013|4797|5099,0.42126639238139196,0.30073125293676245,0.051807910621951926,0.9579178353643623,167,0,0.498279818112427,0.498279818112427
22,970|1094|1750|2128|2908|3143|3942|3996|4727|5099,0.44453606437660786,0.23373236318774424,0.4039324089162953,0.475451039136228,166,0,0.49626259709326065,0.49626259709326065
23,820|1309|1751|2128|2908|2998|3996|4013|4727|5099,0.42649019126336596,0.25655915878557256,0.1308561911857613,0.6398294487112925,165,0,0.496621551419075,0.496621551419075
24,820|1309|1894|2128|2998|3053|3996|4013|4727|5099,0.42122785271847624,0.30317760126471355,0.05122471548832806,0.9755342741541096,166,0,0.49837622149448124,0.49837622149448124
25,970|1094|1750|2128|2908|3143|3798|3996|4727|5099,0.4492888218115665,0.22920578375625492,0.4758527319721419,0.44285461426465283,173,0,0.49669450466252246,0.49669450466252246
26,951|970|1309|1894|2200|3124|3143|4229|4358|5025,0.46989728576207335,0.18384116576154858,0.7877069356188986,0.11617872473859006,159,0,0.49685323825572614,0.49685323825572614
27,970|1025|1309|1751|2200|3124|3143|4229|4358|5025,0.47107204793405016,0.17655045664671992,0.8054838316794686,0.06367748058306014,161,0,0.4980071964055249,0.4980071964055249
28,970|1094|1750|1769|2838|3143|3798|3996|4797|5099,0.4553830727798505,0.22290304904106914,0.5680729860920978,0.39746788865020216,172,0,0.4970570784779618,0.4970570784779618
29,970|1025|1309|1751|2200|3053|3143|4013|4358|5025,0.4700505400912113,0.17902197590944618,0.7900260316409751,0.0814751782011932,163,0,0.4976187675509283,0.4976187675509283
