archive_index,chromosome,f1,f2,norm_f1,norm_f2,strength,raw_fitness,density,total_fitness
1,1041|2030|2131|3568|4529|5014,0.9128439511571953,0.5307177847114738,1.0,1.0,196,0,0.4653352158409502,0.4653352158409502
2,1317|2348|3773|3923|4496|5025,1.0647052474682646,0.5008139039465314,1.0,1.0,195,0,0.46199805996479715,0.46199805996479715
3,1245|2711|2931|3775|4873|5524,1.1228038464941799,0.5182093848238083,1.0,1.0,190,195,0.4663403754943632,195.46634037549435
4,888|1560|2035|3280|3862|5094,0.934545250431615,0.6072676193699124,1.0,1.0,191,196,0.47737914092227723,196.47737914092227
5,806|828|2484|3735|3923|4232,1.128200843009766,0.5207935360538352,1.0,1.0,188,385,0.46693307216489666,385.4669330721649
6,1185|1250|1523|2770|4370|5311,1.0069692697529287,0.6469819678300219,1.0,1.0,184,387,0.48190093215355684,387.48190093215356
7,1694|1961|3218|3642|4735|5450,1.0355164532851466,0.6664000479593026,1.0,1.0,182,571,0.4836081474245587,571.4836081474245
8,1331|1674|2630|3703|4528|5390,1.1139378188687785,0.6077716374345005,1.0,1.0,186,582,0.48102961826146273,582.4810296182615
9,738|2641|2861|3056|3729|5084,1.3298857519672904,0.5492534912320378,1.0,1.0,153,769,0.4745117940832437,769.4745117940832
10,233|1619|1744|3844|3924|4305,1.1359570697114896,0.5792827585989117,1.0,1.0,184,769,0.4789318501436662,769.4789318501437
11,680|2402|2928|4005|4720|5091,1.098875235297985,1.0208129482447603,1.0,1.0,32,948,0.47553550817871637,948.4755355081787
12,611|1966|2332|3430|3568|4596,1.1030277955537247,0.7345695344852673,1.0,1.0,161,948,0.4886143268106173,948.4886143268106
13,523|1663|2425|2702|4006|5302,1.2043253051422407,0.5860875906054815,1.0,1.0,170,953,0.47951569147915335,953.4795156914792
14,882|1702|3266|4671|5172|5173,1.720247604227704,0.5815144327384286,1.0,1.0,74,1106,0.47194928791008367,1106.47194928791
15,529|2136|2625|3413|4005|4661,1.115408089462684,0.8263858273256187,1.0,1.0,113,1295,0.4878750824320965,1295.487875082432
16,1761|1773|1886|3145|3283|4588,1.1264334869524517,0.6966379135095505,1.0,1.0,170,1324,0.4873547776797925,1324.4873547776797
17,1534|1970|2412|3586|4793|5231,1.1819458220974532,0.61214849325789,1.0,1.0,173,1330,0.48213418451045,1330.4821341845104
18,245|1171|2912|3802|4371|5675,1.1851710983673283,0.6235230856809473,1.0,1.0,171,1503,0.48471164198577266,1503.4847116419858
19,1169|1993|3207|3352|3780|4024,1.5079483292146547,0.6078174846291243,1.0,1.0,108,1653,0.47970004743189404,1653.4797000474318
20,1228|1828|3557|3938|4497|5672,1.144356947872987,0.67861379135966,1.0,1.0,171,1696,0.4870029916441764,1696.4870029916442
21,1522|1848|2344|3848|4297|4883,1.1286423035918385,0.8050763014753018,1.0,1.0,124,1843,0.48805390573881036,1843.4880539057388
22,1300|1626|2990|3734|3843|4086,1.4750504631375354,0.6357013871748399,1.0,1.0,111,1997,0.48285725027864546,1997.4828572502786
23,391|1177|3060|3118|4072|4527,1.1649842196648854,0.7095520599183376,1.0,1.0,163,2037,0.48739074364700913,2037.487390743647
24,1345|1455|1887|2836|4359|4371,1.1991342285804574,0.6771601534752241,1.0,1.0,163,2040,0.4882998213587642,2040.4882998213589
25,1453|2487|2831|2991|4584|5461,1.1309296070527701,0.859617187302898,1.0,1.0,97,2080,0.4878438348159968,2080.487843834816
26,684|1245|1391|3877|4062|4819,1.7197137940825113,0.6266129782324033,1.0,1.0,74,2105,0.4761297535318719,2105.476129753532
27,1680|2790|3075|3347|4020|5749,1.361567719890751,0.6470065872932221,1.0,1.0,138,2181,0.48576275883197173,2181.485762758832
28,1886|2055|2783|4213|4430|5167,1.1446776599465358,0.7642403788845772,1.0,1.0,142,2198,0.4902125729369123,2198.490212572937
29,963|2133|2930|3487|4001|4527,1.1522693412604954,0.7939455755869622,1.0,1.0,130,2340,0.4886996354768617,2340.4886996354767
30,1103|1733|1758|3119|4156|4216,1.1565090013158137,0.7723151049838649,1.0,1.0,139,2340,0.4895094971747577,2340.489509497175
31,889|2352|2416|2774|3125|5024,1.3342789993745756,0.6692985134012599,1.0,1.0,145,2363,0.48714895384457885,2363.4871489538446
32,740|1973|2690|3052|3290|5167,1.1851197759142944,0.7296775889824735,1.0,1.0,154,2373,0.49044112469224493,2373.490441124692
33,1604|1754|2324|2781|4866|5531,1.2316301665755995,0.6801888502038933,1.0,1.0,160,2544,0.48751890286402144,2544.487518902864
34,1021|1904|2425|3630|3698|5601,1.444080719961415,0.6699329228550941,1.0,1.0,120,2646,0.4852018427041906,2646.485201842704
35,1240|1456|3000|3566|4093|4643,1.3780700934644874,0.6725093310813132,1.0,1.0,130,2646,0.48663292926397245,2646.486632929264
36,1324|1619|1754|3200|3282|5013,1.1763733703095764,0.8150562841793609,1.0,1.0,116,2896,0.48865204384408606,2896.488652043844
37,1166|2186|2621|3870|4435|4588,1.1719412298948588,0.834309194162404,1.0,1.0,108,3009,0.48900562090202987,3009.489005620902
38,1317|1403|3946|4362|4421|4886,1.2667978267019544,0.7190987090031323,1.0,1.0,147,3037,0.4893271986029419,3037.489327198603
39,235|2265|3046|3795|4568|4582,1.3002920302432661,0.7155927977344895,1.0,1.0,143,3037,0.4898793276144108,3037.4898793276143
40,1031|2717|3925|4169|4364|5094,1.2495415454043066,0.7318652379692188,1.0,1.0,148,3191,0.4900616904663094,3191.4900616904665
41,883|1039|1808|3009|3636|4313,1.431032763782973,0.6853426718522801,1.0,1.0,120,3270,0.4873547776797925,3270.4873547776797
42,1542|1612|3076|3987|4136|4238,1.4654074391631415,0.6837264062354403,1.0,1.0,113,3390,0.4870029916441764,3390.487002991644
43,1097|1107|2204|2345|3875|4504,1.2609515717226965,0.7541580684256778,1.0,1.0,136,3500,0.4913073106400167,3500.49130731064
44,1324|3562|4085|4148|4499|4743,1.260852918300543,0.7628720753814195,1.0,1.0,133,3500,0.49152058328290044,3500.491520583283
