archive_index,chromosome,f1,f2,norm_f1,norm_f2,strength,raw_fitness,density,total_fitness
1,751|1095|1837|2768|3655|5085,1.0258930047844352,0.6176671889961969,1.0,1.0,190,0,0.4823362819216857,0.4823362819216857
2,823|876|1391|2344|4361|4523,1.0054728104018398,0.6688780023273119,1.0,1.0,177,0,0.48450202322572555,0.48450202322572555
3,881|2338|2770|4512|5245|5307,1.1708246128487958,0.5633378621508247,1.0,1.0,181,0,0.47493949852310613,0.47493949852310613
4,1099|2702|3700|4349|4941|5604,1.21155805053077,0.5614203263766011,1.0,1.0,176,0,0.47408202787227094,0.47408202787227094
5,612|1298|2332|2855|3858|5381,1.0435325440176386,0.5818853936802962,1.0,1.0,194,0,0.4764673206575333,0.4764673206575333
6,803|1908|3067|3937|4211|4951,0.9912823594402451,0.7263823824475327,1.0,1.0,164,0,0.4823752215663328,0.4823752215663328
7,895|1020|1029|2844|3934|4672,1.1045516679793768,0.5859704954554791,1.0,1.0,189,194,0.4788635794186921,194.4788635794187
8,877|1552|1616|3490|4743|4806,1.1260878833247556,0.5889436738579406,1.0,1.0,187,383,0.48005570666695396,383.480055706667
9,604|664|2767|3292|4650|4667,1.04445703963929,0.6576813033865423,1.0,1.0,183,384,0.48529524875904984,384.48529524875903
10,1023|1609|2501|2990|3729|4949,1.088230205087192,0.6580156754390156,1.0,1.0,180,567,0.4874696563132408,567.4874696563132
11,736|1690|3441|4066|4073|5173,1.1295224636864118,0.6143464123489766,1.0,1.0,184,570,0.48514379334795327,570.4851437933479
12,963|1673|2048|2478|2636|4440,1.0445872880902438,0.7407721489429592,1.0,1.0,159,908,0.48299961369991246,908.4829996136999
13,830|1277|2464|3144|3790|4168,1.5956783846781162,0.6108980170956971,1.0,1.0,102,927,0.4762107415307256,927.4762107415307
14,739|1694|2408|3571|3851|4090,1.1372748554983103,0.6508747783995483,1.0,1.0,179,944,0.48884786465122954,944.4888478646512
15,1811|1978|2250|3631|4145|4735,1.0599113156594098,0.8247542769222685,1.0,1.0,118,1067,0.4817945163941745,1067.481794516394
16,1386|1540|2267|4139|4431|5032,1.1085606509766708,0.6708703191851938,1.0,1.0,174,1113,0.4874474841221786,1113.4874474841222
17,829|1463|3569|4212|4798|5744,1.1718273159860872,0.6369121770887728,1.0,1.0,178,1125,0.48694741420442744,1125.4869474142045
18,459|530|1674|2714|3344|5085,1.2276306868082996,0.6313963898874718,1.0,1.0,171,1301,0.48636858362240004,1301.4863685836224
19,1595|1605|1908|3430|3847|4384,1.1292527256431086,0.6987720182460027,1.0,1.0,169,1474,0.48629777352701414,1474.486297773527
20,1381|1448|1622|2627|4007|4153,1.2770332084400007,0.6370354140892852,1.0,1.0,155,1650,0.4864950367473657,1650.4864950367473
21,1463|1628|4018|4352|4359|4366,1.35296483576066,0.6497934691740718,1.0,1.0,144,1805,0.48665994536348683,1805.4866599453635
