archive_index,chromosome,f1,f2,norm_f1,norm_f2,strength,raw_fitness,density,total_fitness
1,602|1523|1825|2057|3125|3142|3940|4357|4873|5028,0.43409388529749104,0.24307560973504488,0.2139660162075569,0.46120779606584567,153,0,0.4952236865605928,0.4952236865605928
2,819|1523|1897|2057|3125|3142|3940|4357|4873|5028,0.4234679940156589,0.2918023012326813,0.025316072871174627,0.7614874893300576,152,0,0.49686035921800087,0.49686035921800087
3,819|1523|1767|1894|2998|3125|3940|4357|4874|5028,0.43100975123994595,0.2689233714776112,0.15921091851589592,0.6204954006429126,154,0,0.49857437535143584,0.49857437535143584
4,602|1523|1767|1894|2998|3125|3940|4357|4874|5028,0.4384006242173114,0.21895100513903543,0.2904269954929213,0.31253919892619564,153,0,0.49805418383424926,0.49805418383424926
5,602|1523|1767|1894|2997|3125|3940|4357|5028|5301,0.4510225270350351,0.194862625880594,0.5145137274390751,0.16409384151243284,153,0,0.4975889923627511,0.4975889923627511
6,602|1523|1767|1894|2998|3125|3940|4357|5028|5301,0.45269577941477285,0.1930763128089664,0.5442203147034016,0.15308563379842852,151,0,0.49717779015146724,0.49717779015146724
7,819|1523|1897|2057|3125|3142|3940|4357|4799|5028,0.42428003364120953,0.29023999357979235,0.03973286157001532,0.7518597217067092,154,0,0.49736390017102505,0.49736390017102505
8,602|1523|1767|1894|2997|3125|3940|4357|4874|5028,0.43672737183757365,0.22064865620022964,0.2607204082285947,0.3230010243499429,153,0,0.49800880223635674,0.49800880223635674
9,602|1523|1767|1894|2997|3125|3940|4357|4729|5028,0.43867553800369513,0.21461466461208448,0.2953077597364208,0.28581637077388483,153,0,0.4977512657104504,0.4977512657104504
10,530|1237|1767|1894|2997|3125|3940|4357|5028|5301,0.46177694708800393,0.1771882399161201,0.7054455448083193,0.05517490954876863,155,0,0.4959678080165138,0.4959678080165138
11,602|1523|1897|2057|3125|3142|3940|4357|4873|5028,0.4326234105863612,0.2624555413779636,0.18785950301496263,0.5806372042681102,151,0,0.49779963365082447,0.49779963365082447
12,602|1523|1767|1894|2997|3125|3940|4357|4873|5028,0.43504588837228836,0.2244035833283849,0.2308676879217821,0.34614087504812996,153,0,0.49688988915437327,0.49688988915437327
13,602|1523|1767|1894|2997|3125|3868|4357|4729|5028,0.43872318215120376,0.2140918279729381,0.29615362437868203,0.2825943743525235,153,0,0.4977985032284269,0.4977985032284269
