archive_index,chromosome,f1,f2,norm_f1,norm_f2,strength,raw_fitness,density,total_fitness
1,665|902|1490|1622|2178|3435|3773|4091|5079|5534,0.7346406444343629,0.45807479291514397,1.0,1.0,177,0,0.46607911540567243,0.46607911540567243
2,1033|1525|2037|2539|2568|2849|3482|3875|4506|4733,0.6174608514781156,0.597208551063862,1.0,1.0,188,0,0.4813906455482683,0.4813906455482683
3,530|815|1166|1327|2561|2618|3578|4147|4591|4793,0.6273051852391113,0.5758964170492282,1.0,1.0,189,0,0.4820362401682147,0.4820362401682147
4,967|1258|1456|1895|2133|2205|3126|4231|4281|5530,0.6402891585471145,0.5325752493909379,1.0,1.0,194,0,0.4750742834024403,0.4750742834024403
5,810|953|972|1260|1562|1992|2209|2764|4217|4457,0.9575691859658017,0.48142707152489606,1.0,1.0,91,177,0.46261406063142246,177.4626140606314
6,959|1040|1158|2708|2765|2848|3876|4358|4785|5748,0.7532758614056361,0.5310340643636269,1.0,1.0,168,177,0.4784326091117406,177.47843260911174
7,594|1096|1114|2475|2560|2834|3572|4422|4802|5090,0.6616510748101915,0.5624714581802948,1.0,1.0,191,194,0.4796491515581435,194.47964915155814
8,747|1690|1877|1922|2706|2775|3189|4096|4438|5377,0.7467938071695123,0.5460693043981247,1.0,1.0,168,371,0.48017092071136275,371.4801709207114
9,391|1298|2187|2265|2348|3589|3944|4137|5096|5174,0.7494058687517244,0.5457948339213754,1.0,1.0,168,371,0.4802071378491092,371.4802071378491
10,392|1043|1887|2351|2701|2792|3133|4357|4889|5309,0.7236161348552166,0.5652611834004106,1.0,1.0,178,385,0.48276670345374445,385.48276670345376
11,540|956|1272|1967|2856|3923|4011|4643|4727|5456,0.6650793528312277,0.6530909431424412,1.0,1.0,175,762,0.48255748507132906,762.4825574850713
12,739|971|1345|2112|2988|3210|4008|4209|4228|4803,0.6628148839018649,0.7081030373119642,1.0,1.0,160,762,0.484089994544869,762.4840899945449
13,396|1033|1661|1662|1679|2644|2775|4358|4443|4957,0.6958373213884338,0.6168904468052823,1.0,1.0,179,762,0.4854417864531951,762.4854417864532
14,458|946|1637|2032|2347|3784|4149|4668|4720|5092,0.7064683403363321,0.6128682220711833,1.0,1.0,177,762,0.48583164818054825,762.4858316481806
15,452|953|1604|1663|2203|2845|3335|3498|4587|4951,0.7183760386276047,0.6051362880200195,1.0,1.0,175,762,0.48615113446532515,762.4861511344653
16,895|950|1761|2767|3129|3653|3990|4018|4446|4659,0.7318139973853159,0.602431648325211,1.0,1.0,172,940,0.486336043819964,940.48633604382
17,1026|1738|2193|2759|2784|2853|3067|4515|4570|5021,0.6844839987538267,0.733279036077033,1.0,1.0,144,1097,0.48588451743250227,1097.4858845174324
18,890|970|1371|1530|2544|3137|3278|3426|4502|4591,0.6849412146672821,0.7284297076043292,1.0,1.0,145,1097,0.48598343242778524,1097.4859834324277
19,314|1445|1848|1908|2254|2999|3053|3859|4132|5175,0.7041532436306571,0.662361383198456,1.0,1.0,169,1116,0.48598603206065577,1116.4859860320607
20,824|1304|1333|1751|2854|3776|4494|5026|5082|5233,0.7159674952288997,0.6376582429469321,1.0,1.0,173,1118,0.4839319296187395,1118.4839319296188
21,525|1517|1826|2559|2775|3437|3509|3803|4743|5006,0.8777795421189978,0.5746238788550225,1.0,1.0,124,1244,0.47845901086282533,1244.478459010863
22,533|946|1664|1770|2544|3354|4649|4940|5241|5462,0.7181386275618282,0.6507624308363207,1.0,1.0,170,1291,0.48546967318324813,1291.4854696731832
23,889|1402|2105|2330|2543|2629|3996|4010|5318|5462,0.6931603007901624,0.7782784603269939,1.0,1.0,119,1386,0.48553145759206673,1386.485531457592
24,233|1027|1842|2355|3122|3493|3785|4648|4745|4948,0.7609704409208092,0.5937411605717714,1.0,1.0,164,1433,0.48564710940903744,1433.485647109409
25,806|1041|1519|2423|2629|3292|3806|4361|4953|5016,0.7023657414525238,0.7440289676920138,1.0,1.0,136,1565,0.48632892829945656,1565.4863289282994
26,612|1308|1517|2128|2467|2996|3293|3942|4439|5028,0.7283368695031729,0.7299843817889665,1.0,1.0,140,2463,0.48924211408462753,2463.489242114085
27,735|891|1031|1239|2250|2396|2705|2852|4062|4374,0.827895523922513,0.6331472308733256,1.0,1.0,141,2488,0.4848373415101974,2488.4848373415102
28,973|1241|1475|1959|1992|2612|2852|3928|4002|5380,0.7548012443975631,0.6398063917060843,1.0,1.0,162,2497,0.48589652888160373,2497.4858965288818
29,951|1315|1520|1558|2631|2783|2829|2930|4602|4647,0.8910990764631406,0.6177050405491626,1.0,1.0,120,2612,0.4808099393294765,2612.4808099393294
30,829|1379|1740|1840|2194|2278|3570|3937|4744|4748,0.8993108035005783,0.6210797031235125,1.0,1.0,113,2732,0.4813239119049709,2732.481323911905
31,951|1686|2182|2205|2700|2987|3138|4518|5085|5166,0.7275822850737111,0.7485405230102441,1.0,1.0,133,2743,0.4886118520100319,2743.48861185201
32,819|1983|2270|2539|3295|3502|4349|4501|5097|5247,0.7261706580533798,0.9633286699747748,1.0,1.0,60,2862,0.47341288722640196,2862.4734128872265
33,885|1595|1745|1879|1901|2481|3871|4359|4877|5024,0.7359458571911017,0.7424978363506686,1.0,1.0,135,3096,0.4891084580465139,3096.4891084580463
34,308|1130|1311|2253|3422|3505|4078|4314|4792|5604,0.7968537056864221,0.6542614378724333,1.0,1.0,155,3168,0.48616931473156777,3168.4861693147313
35,1250|1883|2770|3485|4295|4373|4502|4521|5029|5308,0.7327000853829316,0.7849170198635012,1.0,1.0,115,3307,0.486938664739651,3307.4869386647397
36,902|1319|1765|2065|2484|3364|3633|3659|3928|5030,0.7552799757223039,0.7232474407030216,1.0,1.0,139,3333,0.49157746492601284,3333.491577464926
37,1311|1541|1695|2331|2352|3152|3204|3803|5012|5014,0.7800865122713264,0.7004280603473562,1.0,1.0,151,3337,0.4903924921514699,3337.4903924921514
38,811|1987|2052|2128|2271|2559|3850|4515|4943|5161,0.9582997243665589,0.6443409563099082,1.0,1.0,90,3412,0.48170728624627623,3412.481707286246
39,1330|1590|2340|3648|4012|4214|4438|4579|4731|5531,0.7910419078087226,0.7043219723651292,1.0,1.0,145,3488,0.49116718939962617,3488.4911671893997
40,1486|1549|1742|1776|2182|2570|3483|3934|4666|5106,0.8058938451952241,0.6816920930561537,1.0,1.0,146,3492,0.4895496758193787,3492.4895496758195
41,236|1817|2195|2258|2836|2904|3134|3928|5024|5099,0.7981215528316981,0.6996560437129439,1.0,1.0,148,3492,0.49113692966491285,3492.491136929665
42,973|1618|1664|2413|3354|3434|4092|4649|4723|5101,0.7400514927935632,0.7533828044398113,1.0,1.0,128,3500,0.48925681786171105,3500.4892568178616
43,524|743|1459|1690|1701|2856|3486|3583|4230|4502,0.7441709854107573,0.7746059768260405,1.0,1.0,118,3628,0.4876512395774476,3628.4876512395776
44,683|2177|2183|2342|2411|2427|3072|3702|3717|4948,0.7366166602077799,0.8287515772291865,1.0,1.0,102,3734,0.48295592710705243,3734.482955927107
45,592|1530|1531|1689|2644|3066|3266|3479|4574|5016,0.8340338988337752,0.6832998382860086,1.0,1.0,137,3779,0.49150976860964624,3779.49150976861
46,750|1023|1037|1746|1992|2498|2643|2983|3624|4376,0.9391173185690758,0.667510805082132,1.0,1.0,96,3990,0.4858301076047799,3990.4858301076047
47,1590|1624|2036|2421|3132|3505|3847|4453|4788|5106,0.7446714481168591,0.8890531845267945,1.0,1.0,80,4082,0.478897619005323,4082.4788976190052
48,471|2062|2103|3205|4090|4746|4813|4936|5248|5378,0.8765807645710469,0.7026369623206974,1.0,1.0,119,4215,0.492127742700757,4215.492127742701
49,451|1244|2990|3076|3362|3407|3643|4577|4818|5381,0.8544244679517968,0.7039736959303445,1.0,1.0,123,4215,0.4932298380077358,4215.493229838008
50,955|1033|1178|1446|2772|3856|4223|4448|4952|5023,0.8149079213459128,0.7152251281461041,1.0,1.0,131,4242,0.49265065058523655,4242.492650650585
51,817|881|1037|1253|2198|2552|3117|3278|4363|4586,0.815591961825016,0.7122657597302111,1.0,1.0,133,4242,0.49284368402921186,4242.492843684029
52,540|738|1107|1183|2134|2976|3572|5233|5234|5891,0.9652642554077344,0.6749668486175419,1.0,1.0,88,4267,0.48481068291514196,4267.484810682915
53,159|1329|2754|3357|3709|3799|4674|4791|4819|5033,0.9308079331865141,0.687084912838839,1.0,1.0,98,4273,0.4882479400519155,4273.488247940052
54,389|1041|1258|1818|2189|2404|2712|3849|4242|4791,0.8466995275161039,0.7077063647358175,1.0,1.0,129,4360,0.4941559711069731,4360.494155971107
