archive_index,chromosome,f1,f2,norm_f1,norm_f2,strength,raw_fitness,density,total_fitness
1,885|901|1886|2117|2348|3922|4076|4157|4804|4818,0.5606394431648741,0.5063150238887761,1.0,1.0,197,0,0.4685951531294755,0.4685951531294755
2,391|1458|2053|2398|3065|3206|3779|4308|4653|4958,0.5474789952309415,0.545700164998849,1.0,1.0,194,0,0.4726600264673172,0.4726600264673172
3,829|1168|1889|2262|3071|3799|3916|3995|4579|4808,0.5518445270648145,0.573545646023796,1.0,1.0,191,194,0.47548704714563256,194.47548704714563
4,171|807|1200|1388|1819|2415|3139|3653|3708|4879,0.6810356444211593,0.5128366389443609,1.0,1.0,193,197,0.4756359855075228,197.47563598550752
5,755|1090|1276|2055|2396|2569|2635|3207|4365|4814,0.6973227237973529,0.5069856273217282,1.0,1.0,189,197,0.476305337647358,197.47630533764735
6,544|1241|1703|2844|3496|4148|4596|4642|4808|4810,0.7445626431975613,0.5312422779404885,1.0,1.0,179,579,0.4775788241661828,579.4775788241661
7,307|1460|1553|2828|3078|3345|3927|4421|4727|5385,0.6710157044895294,0.5881582060639664,1.0,1.0,189,582,0.48360962956020975,582.4836096295602
8,160|741|1600|2038|2271|2487|2849|3359|3924|4664,0.6893789536289074,0.5548295495259788,1.0,1.0,186,584,0.48175371604625117,584.4817537160462
9,1169|1694|1979|2497|2840|2851|3335|4355|4740|4861,0.7558972943234372,0.5411896473570056,1.0,1.0,175,758,0.4774874296844352,758.4774874296844
10,1033|1445|1955|2853|2979|2987|3852|3933|4958|5380,0.6725199259177048,0.6565456737719852,1.0,1.0,173,771,0.4838219343731387,771.4838219343732
11,393|1312|1486|2182|2208|2494|3573|4240|4363|5167,0.6865778050387918,0.6176696687192897,1.0,1.0,181,964,0.4831251973730098,964.483125197373
12,681|950|1089|1183|2200|2980|3862|3930|4589|4793,0.6811759464738812,0.639098229827672,1.0,1.0,179,964,0.48370734835154006,964.4837073483516
13,1106|1300|1517|1637|2393|3276|3419|4442|4451|4525,0.8915097520272866,0.5473840386904089,1.0,1.0,121,1127,0.47675793103581443,1127.4767579310358
14,525|952|1105|1670|1760|2495|3277|3553|4374|5748,0.7399398065344903,0.6069266909016781,1.0,1.0,175,1339,0.4860149776858872,1339.486014977686
15,1089|1477|1674|2132|2627|4231|4512|4643|4736|5084,0.7300300356180894,0.6151486283277441,1.0,1.0,176,1339,0.4860392401486397,1339.4860392401486
16,1233|1608|1914|2393|3412|3786|3867|4061|4583|5672,0.6879882284665236,0.7412793731956875,1.0,1.0,131,1497,0.4845450557563699,1497.4845450557564
17,1232|1259|2247|3078|3336|3583|3696|4237|4794|4805,0.8528102752606695,0.5826346299828195,1.0,1.0,138,1504,0.48336530405732697,1504.4833653040573
18,948|970|1480|1689|2063|3340|3441|3724|4061|5097,0.7682812995092364,0.5893526238019812,1.0,1.0,169,1693,0.4852737120206052,1693.4852737120207
19,522|533|900|1243|2248|2918|3492|3629|4371|4596,0.7743056346825836,0.6047061582686548,1.0,1.0,167,1862,0.48692478913806786,1862.4869247891381
20,1391|2125|2494|2988|3066|3264|4140|4715|4886|5018,0.7279836929823443,0.7360478378314174,1.0,1.0,129,1872,0.4883980744234621,1872.4883980744235
21,812|1618|1667|2488|3147|3641|3783|3938|5023|5677,0.7008427183622244,0.7654825319202364,1.0,1.0,123,2003,0.4843636777815206,2003.4843636777816
22,964|1735|2489|3062|3150|4077|4601|4720|5308|5460,0.7015650346919948,0.7423664220686194,1.0,1.0,129,2003,0.48570151382880355,2003.4857015138289
23,666|1477|2189|2204|2554|3132|3189|4140|4525|4876,0.7351277668729963,0.7319634986296577,1.0,1.0,134,2048,0.489567459658929,2048.489567459659
24,461|889|1604|2264|2407|2987|3628|3802|5084|5457,0.7408085842163,0.6899827042449954,1.0,1.0,152,2223,0.48922782104707446,2223.4892278210473
25,394|807|1392|1606|2047|2926|3573|4425|4500|5171,0.7454553298610562,0.6527023728035178,1.0,1.0,166,2229,0.4897248270857288,2229.489724827086
26,389|1393|1453|2397|2909|3345|3512|4371|4720|4952,0.7127732767125856,1.0416943504593466,1.0,1.0,25,2255,0.46708903926414364,2255.467089039264
27,1112|1241|1333|1389|1689|2267|2645|3853|4963|5246,0.9185800242024914,0.6129562790815452,1.0,1.0,108,2463,0.48344737118641856,2463.4834473711862
28,874|1256|1444|2771|2911|3715|4723|4881|5167|5381,0.778650406440235,0.6370957226801889,1.0,1.0,164,2561,0.48944302293760233,2561.4894430229374
29,899|1467|1676|2119|2687|3005|4213|4935|5029|5671,0.7369323829743256,0.770190239322028,1.0,1.0,116,2694,0.4874556237461592,2694.487455623746
30,886|1675|1846|2775|3338|3495|3996|4429|4432|4657,0.7550056379318095,0.7056491454101185,1.0,1.0,141,2720,0.48973972091848944,2720.4897397209184
31,967|1461|1819|2060|2278|2696|4061|4239|4716|4958,0.7661354932120763,0.683294530160714,1.0,1.0,152,2743,0.4900529319477296,2743.4900529319475
32,816|1596|2209|2572|2847|3152|4092|4239|4787|4952,0.8356292296324666,0.6424903468869237,1.0,1.0,145,2904,0.4893505254364671,2904.4893505254363
33,591|1016|1552|1671|2686|3353|3625|4594|5174|5239,0.8051432148676019,0.6429888245029571,1.0,1.0,155,2904,0.48938808772307874,2904.489388087723
34,394|591|2412|3501|3843|4011|4521|4888|4963|5819,0.9554282634811292,0.6356514109862577,1.0,1.0,100,2928,0.4835860568471156,2928.483586056847
35,1239|1395|1839|1985|2394|2784|2930|3710|4023|4960,0.8520968219053381,0.6459032055752687,1.0,1.0,137,3204,0.48977396497807324,3204.489773964978
36,520|1321|1541|1845|2209|2573|3130|4230|5155|5389,0.820718268233139,0.6549632562386114,1.0,1.0,148,3225,0.4914629428902538,3225.4914629428904
37,308|1816|1913|2493|2857|2912|3781|3992|4168|4228,0.7800532455444357,0.6583646725907155,1.0,1.0,157,3243,0.49002930029165276,3243.4900293002916
38,541|1333|1589|1704|2111|2265|3500|4084|4505|4517,0.7524434563684517,0.8015448552214136,1.0,1.0,100,3482,0.48583815335711816,3482.4858381533572
39,755|1186|1672|2785|3055|3568|4292|4583|4654|4942,0.8160210730258147,0.6757154469548383,1.0,1.0,143,3555,0.4923785045541293,3555.492378504554
40,536|829|1091|1379|1409|2488|3494|3771|4144|4958,0.8230554341631012,0.6708590522749767,1.0,1.0,144,3703,0.49283287859260894,3703.4928328785927
41,541|1227|1258|1770|1831|3583|3776|4291|4961|5084,0.7819997102538736,0.6943717557216167,1.0,1.0,144,3704,0.49134436838165374,3704.4913443683818
42,242|543|1092|1748|1813|2248|2645|2768|5008|5105,1.0203953251300821,0.6479691433653892,1.0,1.0,75,3808,0.48152176795766105,3808.4815217679575
43,1110|1383|1444|2053|3220|3723|3922|3940|4073|4962,0.7667936103037822,0.7662849409621499,1.0,1.0,118,3834,0.48961471285607727,3834.489614712856
44,467|1091|1846|1966|2689|2862|2863|3203|5014|5163,0.825626278051488,0.6743008884451246,1.0,1.0,141,3847,0.4928670608178563,3847.492867060818
45,679|741|1309|1899|2268|3359|3440|3565|3644|4378,0.7906267203207734,0.7278304041001835,1.0,1.0,129,3989,0.4907384134834918,3989.4907384134835
46,452|740|745|2110|2420|3875|4237|4360|4521|5380,0.8058239297829367,0.702478266365613,1.0,1.0,135,4003,0.4919652085936033,4003.4919652085937
47,378|817|2110|2195|2555|2685|3348|3572|4800|5747,0.7665383799710876,0.8142038386151534,1.0,1.0,89,4050,0.4869475241176608,4050.4869475241176
48,1600|1609|2566|2573|3120|3770|3786|4003|4785|4964,0.8928888584456421,0.6566072935508986,1.0,1.0,117,4087,0.4901667736037107,4087.4901667736035
49,610|830|1458|1675|3077|3354|3589|4434|4790|5385,0.8790861296269643,0.6606133828330338,1.0,1.0,122,4123,0.4913281980756295,4123.491328198075
50,968|1108|1110|1383|2105|2330|2856|4207|4576|5106,0.8081858021952129,0.7031550233083682,1.0,1.0,133,4138,0.49195258620249693,4138.491952586202
51,669|1418|1985|2327|2644|2900|3850|4163|5079|5749,0.7817455406820226,0.746171929106255,1.0,1.0,120,4368,0.4905557231811353,4368.490555723181
52,306|680|1898|1902|2059|2338|3215|4003|4733|5534,0.7714247795542638,0.8613340192193764,1.0,1.0,72,4426,0.4826196165084836,4426.482619616509
53,735|956|2560|3072|3499|3841|4000|4228|4953|5524,0.842800088696536,0.6892101783664872,1.0,1.0,130,4428,0.49240274918867466,4428.492402749189
54,1186|1378|1561|1667|2123|2537|2847|4225|4302|4674,0.8693889780517847,0.6815641759896954,1.0,1.0,122,4551,0.4918521708388778,4551.491852170839
55,1401|1884|1914|2102|2193|2538|4005|4146|5011|5316,0.817711040374252,0.7239469526528384,1.0,1.0,129,4555,0.49168039040719513,4555.491680390407
56,1187|1376|3354|3479|3858|4160|4166|4871|5230|5246,0.8361282974024262,0.6928053614991951,1.0,1.0,133,4580,0.492178538161526,4580.492178538161
57,684|1326|1463|1540|2482|3077|3144|3657|4716|5533,0.8816300300120362,0.6758747977669125,1.0,1.0,118,4673,0.49156258538770276,4673.491562585387
58,809|1702|2052|2629|3007|3195|3722|4160|4161|4747,1.0876687505127143,0.6654332520147246,1.0,1.0,55,4766,0.4787169925439434,4766.478716992544
59,1308|1484|1550|1668|1741|2354|3070|3577|3715|4676,1.2393517951401076,0.671066661985188,1.0,1.0,24,4965,0.4736678831689892,4965.473667883169
60,524|969|1275|1676|1736|1846|2480|4224|4521|5167,0.8033651649686887,0.7804552015892924,1.0,1.0,105,5118,0.48975468049259874,5118.489754680492
61,1170|1968|2196|2269|2771|3200|3949|4297|4309|4571,0.8253578597559621,0.734130228968177,1.0,1.0,121,5239,0.4902054855347565,5239.490205485535
62,823|895|1024|1171|1259|3271|4149|4372|4880|5529,0.9026023091041652,0.6840999919263461,1.0,1.0,109,5303,0.4899475033995415,5303.4899475034
63,451|819|1746|2182|2933|3271|3275|3728|4288|4891,0.8000277150817783,0.8430704937315144,1.0,1.0,79,5307,0.48632605661350364,5307.4863260566135
64,378|462|806|1607|1920|2476|2697|3217|4798|5305,0.8549207881512986,0.7028134225435855,1.0,1.0,122,5397,0.4924957610047827,5397.492495761005
65,1747|1910|2047|2411|2487|2935|3353|3560|4284|4874,0.8004982084129459,0.8668805864088124,1.0,1.0,71,5458,0.4847582141142413,5458.484758214115
66,1520|1612|1968|2046|2115|2417|2642|3339|4372|4524,0.8793812247221353,0.695974171496557,1.0,1.0,117,5506,0.4914360985674174,5506.491436098568
67,954|1735|2209|3059|3483|3864|3918|4378|4958|5390,0.8634451803945266,0.7251670838390413,1.0,1.0,115,5922,0.4917103944631573,5922.491710394464
68,1603|1613|1901|3047|3439|4075|4292|4889|4963|5101,0.902581072857421,0.6961389203762182,1.0,1.0,109,5979,0.49121169250004654,5979.4912116925
69,1249|1320|1761|1763|2265|2707|3515|3862|4215|4669,0.835820328647989,0.7427285604195202,1.0,1.0,116,6035,0.4905451164218029,6035.490545116422
70,948|1038|1161|1755|2334|3134|3804|4022|4307|4583,0.837349823793782,0.7605245218846062,1.0,1.0,111,6404,0.49056637470022196,6404.4905663747
71,671|1023|1381|1403|1742|2719|3697|3866|3940|5155,0.9610080206901278,0.6989686346223163,1.0,1.0,94,6405,0.4878542096412657,6405.487854209641
72,390|685|1305|1830|1976|1983|2771|3283|4164|5022,0.8305518472280514,0.7855791515395679,1.0,1.0,103,6472,0.4902785299589448,6472.490278529959
73,307|806|876|1026|1131|1828|1909|3067|4943|5164,1.057008495359243,0.6974163872275821,1.0,1.0,64,6480,0.4827453803265498,6480.482745380326
74,899|1159|2472|2687|2973|3726|3781|3987|4080|4811,0.8934120673490175,0.718916205813948,1.0,1.0,109,6510,0.49115820539874655,6510.491158205399
75,876|1390|2546|2989|3006|3286|3698|3845|5013|5387,0.8305826695936188,0.7995856187507678,1.0,1.0,96,6575,0.4898083435363713,6575.489808343536
76,824|1164|1899|2693|2766|3146|3198|3414|3852|5525,0.8544326177890582,0.7556431322429911,1.0,1.0,108,6809,0.490409288712189,6809.490409288712
77,460|740|1771|2197|3589|3647|4060|4081|4167|5238,0.8629972085407766,0.7459639670726724,1.0,1.0,109,6811,0.49045464630641655,6811.490454646307
78,1318|1961|2248|2863|3367|3554|3562|3625|3735|4943,1.045924994723785,0.7106844552082909,1.0,1.0,66,7105,0.48492129001309986,7105.4849212900135
79,1021|1277|1546|2052|3723|3804|3864|4430|4730|5091,0.9143161568399352,0.729393207108507,1.0,1.0,100,7210,0.48990287698773627,7210.489902876988
80,1392|1516|1901|2412|2984|2994|5157|5306|5598|5603,1.0107794382159427,0.7246324877667365,1.0,1.0,76,7268,0.48612052773438713,7268.486120527735
81,609|1016|1321|1761|3855|4007|4786|4960|5234|5244,0.8400651019267076,0.8059543939654864,1.0,1.0,91,7276,0.48943435599625595,7276.489434355996
82,944|1232|1299|1633|1676|1989|3435|3570|4239|4519,1.0730896080374708,0.72147632588431,1.0,1.0,60,7344,0.4862360747672489,7344.4862360747675
83,171|1542|1839|1897|2254|2789|3406|4078|4529|5171,0.8366006204767394,0.96151689888185,1.0,1.0,44,7476,0.47956682868304196,7476.479566828683
84,1175|1479|1539|1631|1837|1968|3140|3786|4600|5820,0.9264484487514463,0.7336239691248267,1.0,1.0,94,7552,0.489347653622949,7552.489347653623
85,895|1277|1734|1839|2333|3046|3730|3948|4236|4373,1.1217509382013595,0.7244300729519665,1.0,1.0,43,7588,0.48626790701814043,7588.486267907018
86,398|1131|1348|1822|2335|2978|3208|3486|4153|4586,0.8649397773840135,0.7742415079023751,1.0,1.0,99,7731,0.49099969602487975,7731.490999696025
87,817|892|1311|1378|1619|2181|3139|4522|4591|5234,0.8443061917357895,0.9186245232620937,1.0,1.0,56,7808,0.48280552116736053,7808.482805521167
88,828|1035|1091|1098|1111|1130|1704|3274|4584|4651,1.0202310659661584,0.733461798125849,1.0,1.0,68,7822,0.48749878553606046,7822.487498785536
89,387|540|1253|2196|2709|2827|3701|3711|4314|5312,0.8526940459170336,1.0515947631361622,1.0,1.0,23,8070,0.47471320543440193,8070.474713205434
90,233|1746|1766|2102|2210|3504|3704|3708|3864|4154,0.9843180765817248,0.7389460281384301,1.0,1.0,80,8090,0.4876479811695023,8090.487647981169
91,1178|1305|1317|1602|1912|1974|2636|3143|4238|4645,0.874194935404214,0.7987392040545452,1.0,1.0,90,8160,0.4903955652728783,8160.490395565273
92,602|603|754|883|946|2125|2924|2995|3662|5228,1.1938643559670024,0.7332913068163998,1.0,1.0,29,8185,0.48246354425852667,8185.482463544258
93,950|1899|2473|2975|3215|3587|4496|4881|4885|5598,0.8658200665168702,0.833862833524138,1.0,1.0,75,8414,0.4880041528554457,8414.488004152856
94,597|756|1204|1348|1808|1821|1847|2175|4161|4421,1.2592297349460575,0.7357298026951496,1.0,1.0,22,8521,0.47649514805650667,8521.476495148056
95,243|536|2035|2116|2337|3359|4451|4665|5084|5891,0.8753323098468669,0.8147121696770135,1.0,1.0,79,8626,0.48918428776414363,8626.489184287764
96,461|1971|2324|2982|3642|3915|4206|4381|4450|5155,0.8636862132340379,0.9973096013723833,1.0,1.0,34,8637,0.4793593018771276,8637.479359301877
97,1041|1298|1484|3075|3558|3561|4505|4729|5101|5314,0.8903668869833684,0.8110485947552686,1.0,1.0,79,8894,0.48984663156810165,8894.489846631568
98,745|1249|1772|2118|3190|3413|3587|3649|4276|4510,0.8718916709525242,0.9740556373448563,1.0,1.0,38,8933,0.48228798092327985,8933.482287980924
99,317|1240|1989|2278|2573|4018|4210|4569|4572|5892,1.0534737746893565,0.7552663339808595,1.0,1.0,61,9060,0.48872028253923794,9060.48872028254
100,318|522|1168|1608|1821|2048|2201|4374|4651|4859,0.9591035394897031,0.7688166570983703,1.0,1.0,83,9061,0.48950335440147724,9061.489503354402
